plant_family;plant;frug_family;frug;QTY;energy_fruit;TE;TE_plant
Lamiaceae;Aegiphila integrifolia;Turdidae;Turdus rufiventris;NA;NA;NA;NA
Lamiaceae;Aegiphila sellowiana;Thraupidae;Thraupis palmarum;NA;0.82;NA;NA
Lamiaceae;Aegiphila sellowiana;Thraupidae;Thraupis sayaca;NA;0.82;NA;NA
Lamiaceae;Aegiphila sellowiana;Turdidae;Turdus albicollis;NA;0.82;NA;NA
Lamiaceae;Aegiphila sellowiana;Turdidae;Turdus rufiventris;NA;0.82;NA;NA
Euphorbiaceae;Alchornea sidifolia;Thraupidae;Tangara cayana;1.451;NA;NA;NA
Euphorbiaceae;Alchornea sidifolia;Thraupidae;Thraupis sayaca;1.36;NA;NA;NA
Euphorbiaceae;Alchornea sidifolia;Turdidae;Turdus rufiventris;8.856;NA;NA;NA
Rubiaceae;Amaioua guianensis;Turdidae;Turdus albicollis;0.313;NA;NA;NA
Rubiaceae;Amaioua guianensis;Turdidae;Turdus rufiventris;0.9;NA;NA;NA
Anacardiaceae;Anacardium occidentale;Thraupidae;Tangara cayana;NA;NA;NA;NA
Anacardiaceae;Anacardium occidentale;Thraupidae;Thraupis palmarum;NA;NA;NA;NA
Arecaceae;Archontophoenix cunninghamiana;Thraupidae;Tangara cayana;NA;NA;NA;NA
Arecaceae;Archontophoenix cunninghamiana;Turdidae;Turdus rufiventris;2.5;NA;NA;NA
Malpighiaceae;Byrsonima sericea;Thraupidae;Tangara cayana;NA;NA;NA;NA
Malpighiaceae;Byrsonima sericea;Thraupidae;Thraupis palmarum;NA;NA;NA;NA
Malpighiaceae;Byrsonima sericea;Thraupidae;Thraupis sayaca;NA;NA;NA;NA
Salicaceae;Casearia sylvestris;Thraupidae;Tangara cayana;0.066;NA;NA;NA
Salicaceae;Casearia sylvestris;Thraupidae;Tangara cayana;0.773;NA;NA;NA
Salicaceae;Casearia sylvestris;Thraupidae;Thraupis sayaca;0.409;NA;NA;NA
Salicaceae;Casearia sylvestris;Thraupidae;Thraupis sayaca;0.773;NA;NA;NA
Salicaceae;Casearia sylvestris;Thraupidae;Thraupis sayaca;12.952;NA;NA;NA
Salicaceae;Casearia sylvestris;Thraupidae;Thraupis sayaca;38.492;NA;NA;NA
Urticaceae;Cecropia glaziovii;Cracidae;Aburria jacutinga;NA;5.08;NA;0.180425631
Amaranthaceae;Chamissoa altissima;Fringillidae;Euphonia chlorotica;0.278;NA;NA;NA
Amaranthaceae;Chamissoa altissima;Thraupidae;Tangara cayana;0.556;NA;NA;NA
Sapotaceae;Chrysophyllum flexuosum;Cracidae;Aburria jacutinga;NA;NA;NA;NA
Canellaceae;Cinnamodendron dinisii;Cracidae;Aburria jacutinga;NA;NA;NA;NA
Canellaceae;Cinnamodendron dinisii;Cracidae;Aburria jacutinga;NA;NA;NA;NA
Lauraceae;Cinnamomum triplinerve;Thraupidae;Thraupis palmarum;NA;2.50;NA;30.0423864
Lauraceae;Cinnamomum triplinerve;Thraupidae;Thraupis sayaca;NA;2.50;NA;30.0423864
Vitaceae;Cissus selloana;Turdidae;Turdus rufiventris;NA;NA;NA;NA
Verbenaceae;Citharexylum myrianthum;Cracidae;Aburria jacutinga;NA;2.08;NA;1.206464575
Clusiaceae;Clusia criuva;Thraupidae;Tangara cyanocephala;NA;1.44;NA;NA
Clusiaceae;Clusia criuva;Thraupidae;Tangara seledon;NA;1.44;NA;NA
Boraginaceae;Cordia ecalyculata;Turdidae;Turdus rufiventris;NA;NA;NA;NA
Boraginaceae;Cordia silvestris;Cracidae;Aburria jacutinga;NA;1.07;NA;NA
Urticaceae;Coussapoa microcarpa;Fringillidae;Euphonia pectoralis;NA;0.49;NA;NA
Urticaceae;Coussapoa microcarpa;Ramphastidae;Ramphastos dicolorus;NA;0.49;NA;NA
Urticaceae;Coussapoa microcarpa;Thraupidae;Thraupis palmarum;NA;0.49;NA;NA
Urticaceae;Coussapoa microcarpa;Thraupidae;Thraupis sayaca;NA;0.49;NA;NA
Urticaceae;Coussapoa microcarpa;Trogonidae;Trogon surrucura;NA;0.49;NA;NA
Urticaceae;Coussapoa microcarpa;Turdidae;Turdus albicollis;NA;0.49;NA;NA
Urticaceae;Coussapoa microcarpa;Turdidae;Turdus rufiventris;NA;0.49;NA;NA
Urticaceae;Coussapoa microcarpa;Turdidae;Turdus rufiventris;NA;0.49;NA;NA
Lauraceae;Cryptocarya moschata;Cracidae;Aburria jacutinga;NA;34.74;NA;NA
Sapindaceae;Cupania emarginata;Thraupidae;Tangara cayana;NA;NA;NA;NA
Sapindaceae;Cupania emarginata;Thraupidae;Thraupis palmarum;NA;NA;NA;NA
Sapindaceae;Cupania emarginata;Thraupidae;Thraupis sayaca;NA;NA;NA;NA
Sapindaceae;Cupania oblongifolia;Cracidae;Aburria jacutinga;NA;3.59;NA;6.383618333
Dilleniaceae;Curatella americana;Thraupidae;Thraupis palmarum;NA;NA;NA;NA
Dilleniaceae;Curatella americana;Thraupidae;Thraupis sayaca;NA;NA;NA;NA
Lauraceae;Endlicheria paniculata;Turdidae;Turdus rufiventris;NA;NA;NA;NA
Erythroxylaceae;Erythroxylum ambiguum;Thraupidae;Tangara cyanocephala;NA;4.29;NA;2.288018826
Erythroxylaceae;Erythroxylum deciduum;Thraupidae;Tangara cayana;NA;NA;NA;NA
Erythroxylaceae;Erythroxylum deciduum;Thraupidae;Thraupis sayaca;10.526;NA;NA;NA
Erythroxylaceae;Erythroxylum deciduum;Turdidae;Turdus rufiventris;6.682;NA;NA;NA
Myrtaceae;Eugenia cerasiflora;Thraupidae;Thraupis sayaca;NA;NA;NA;NA
Myrtaceae;Eugenia cerasiflora;Turdidae;Turdus rufiventris;NA;NA;NA;NA
Arecaceae;Euterpe edulis;Cracidae;Aburria jacutinga;NA;5.18;NA;0.825184465
Arecaceae;Euterpe edulis;Cracidae;Aburria jacutinga;NA;5.18;NA;0.825184465
Arecaceae;Euterpe edulis;Cracidae;Penelope obscura;NA;5.18;NA;0.825184465
Arecaceae;Euterpe oleracea;Thraupidae;Thraupis sayaca;NA;NA;NA;NA
Arecaceae;Euterpe oleracea;Turdidae;Turdus rufiventris;3.402;NA;NA;NA
Moraceae;Ficus enormis;Cracidae;Aburria jacutinga;NA;4.31;NA;NA
Moraceae;Ficus hirsuta;Fringillidae;Euphonia violacea;NA;NA;NA;NA
Moraceae;Ficus microcarpa;Fringillidae;Euphonia chlorotica;NA;NA;NA;NA
Moraceae;Ficus microcarpa;Thraupidae;Tangara cayana;0.889;NA;NA;NA
Moraceae;Ficus microcarpa;Thraupidae;Tangara cayana;2.033;NA;NA;NA
Moraceae;Ficus microcarpa;Thraupidae;Thraupis sayaca;2.667;NA;NA;NA
Moraceae;Ficus microcarpa;Thraupidae;Thraupis sayaca;4.2;NA;NA;NA
Moraceae;Ficus microcarpa;Turdidae;Turdus rufiventris;12.222;NA;NA;NA
Rhamnaceae;Frangula purshiana;Thraupidae;Tangara cayana;1.609;NA;NA;NA
Rhamnaceae;Frangula purshiana;Thraupidae;Thraupis sayaca;4.522;NA;NA;NA
Rhamnaceae;Frangula purshiana;Thraupidae;Thraupis sayaca;6.391;NA;NA;NA
Nyctaginaceae;Guapira opposita;Fringillidae;Euphonia violacea;NA;0.85;NA;NA
Nyctaginaceae;Guapira opposita;Thraupidae;Tangara cyanocephala;NA;0.85;NA;NA
Nyctaginaceae;Guapira opposita;Thraupidae;Thraupis sayaca;NA;0.85;NA;NA
Nyctaginaceae;Guapira opposita;Thraupidae;Thraupis sayaca;NA;0.85;NA;NA
Nyctaginaceae;Guapira opposita;Turdidae;Turdus albicollis;NA;0.85;NA;NA
Nyctaginaceae;Guapira opposita;Turdidae;Turdus albicollis;NA;0.85;NA;NA
Nyctaginaceae;Guapira opposita;Turdidae;Turdus rufiventris;NA;0.85;NA;NA
Meliaceae;Guarea macrophylla;Turdidae;Turdus rufiventris;NA;1.81;NA;NA
Annonaceae;Guatteria sellowiana;Turdidae;Turdus albicollis;0.844;NA;NA;NA
Annonaceae;Guatteria sellowiana;Turdidae;Turdus rufiventris;2;NA;NA;NA
Rubiaceae;Guettarda viburnoides;Thraupidae;Tangara cayana;NA;NA;NA;NA
Rubiaceae;Guettarda viburnoides;Thraupidae;Thraupis sayaca;NA;NA;NA;NA
