species;plant;plant_family;QTY;energy_fruit;QTY_SD;QTY_SE;TE;TE_common
Ramphastos dicolorus;Vitex polygama;Lamiaceae;10.2;0.657408;NA;NA;6.7055616;6.7055616
Thraupis palmarum;Virola sebifera;Myristicaceae;1;2.53614;NA;NA;2.53614;0.840476796
Turdus rufiventris;Virola sebifera;Myristicaceae;0.338;2.53614;NA;NA;0.85721532;0.840476796
Tityra cayana;Virola sebifera;Myristicaceae;0.144;2.53614;0.062225397;0.044;0.36520416;0.840476796
Turdus albicollis;Virola sebifera;Myristicaceae;0.031;2.53614;NA;NA;0.07862034;0.840476796
Ramphastos dicolorus;Virola oleifera;Myristicaceae;0.015;11.0401599;NA;NA;0.165602399;0.093638315
Trogon viridis;Virola oleifera;Myristicaceae;0.011;11.0401599;NA;NA;0.121441759;0.093638315
Baillonius bailloni;Virola oleifera;Myristicaceae;0.007;11.0401599;NA;NA;0.077281119;0.093638315
Procnias nudicollis;Virola oleifera;Myristicaceae;0.005408043;11.0401599;NA;NA;0.059705661;0.093638315
Selenidera maculirostris;Virola oleifera;Myristicaceae;0.004;11.0401599;NA;NA;0.04416064;0.093638315
Trogon viridis;Virola bicuhyba;Myristicaceae;0.336;14.722418;NA;NA;4.946732448;1.306088797
Selenidera maculirostris;Virola bicuhyba;Myristicaceae;0.078;14.722418;NA;NA;1.148348604;1.306088797
Aburria jacutinga;Virola bicuhyba;Myristicaceae;0.077;14.722418;NA;NA;1.133626186;1.306088797
Turdus albicollis;Virola bicuhyba;Myristicaceae;0.065;14.722418;NA;NA;0.95695717;1.306088797
Thraupis palmarum;Virola bicuhyba;Myristicaceae;0.026;14.722418;NA;NA;0.382782868;1.306088797
Turdus rufiventris;Virola bicuhyba;Myristicaceae;0.026;14.722418;NA;NA;0.382782868;1.306088797
Ramphastos vitellinus ;Virola bicuhyba;Myristicaceae;0.013;14.722418;NA;NA;0.191391434;1.306088797
Turdus rufiventris;Trema micrantha;Cannabaceae;11.154;0.1135254;NA;NA;1.266262312;0.387802766
Tangara cayana;Trema micrantha;Cannabaceae;3.9;0.1135254;NA;NA;0.44274906;0.387802766
Thraupis sayaca;Trema micrantha;Cannabaceae;2.724666667;0.1135254;3.926053022;2.266707769;0.309318873;0.387802766
Tangara cyanocephala;Trema micrantha;Cannabaceae;1.462;0.1135254;NA;NA;0.165974135;0.387802766
Thraupis palmarum;Trema micrantha;Cannabaceae;1.319;0.1135254;1.723926333;1.219;0.149740003;0.387802766
Thraupis sayaca;Tapirira guianensis;Anacardiaceae;3.179;9.4395962;NA;NA;30.00847632;10.1853243
Tangara cayana;Tapirira guianensis;Anacardiaceae;1.03;9.4395962;1.448154688;1.024;9.722784086;10.1853243
Thraupis palmarum;Tapirira guianensis;Anacardiaceae;0.8535;9.4395962;1.167433296;0.8255;8.056695357;10.1853243
Euphonia chlorotica;Tapirira guianensis;Anacardiaceae;0.411;9.4395962;NA;NA;3.879674038;10.1853243
Euphonia violacea;Tapirira guianensis;Anacardiaceae;0.196;9.4395962;NA;NA;1.850160855;10.1853243
Procnias nudicollis;Sorocea ilicifolia;Moraceae;0.400261401;4.480036;NA;NA;1.793185487;1.793185487
Euphonia pectoralis;Sloanea guianensis;Elaeocarpaceae;0.393;2.751208924;NA;NA;1.081225107;0.654787724
Selenidera maculirostris;Sloanea guianensis;Elaeocarpaceae;0.357;2.751208924;NA;NA;0.982181586;0.654787724
Tangara cyanocephala;Sloanea guianensis;Elaeocarpaceae;0.286;2.751208924;NA;NA;0.786845752;0.654787724
Tangara seledon;Sloanea guianensis;Elaeocarpaceae;0.25;2.751208924;NA;NA;0.687802231;0.654787724
Tangara cayana;Sloanea guianensis;Elaeocarpaceae;0.071;2.751208924;NA;NA;0.195335834;0.654787724
Tityra cayana;Sloanea guianensis;Elaeocarpaceae;0.071;2.751208924;NA;NA;0.195335834;0.654787724
Thraupis sayaca;Schinus terebinthifolius;Anacardiaceae;8.568;0.0212366;7.582453297;3.791226648;0.181955189;0.087649983
Turdus albicollis;Schinus terebinthifolius;Anacardiaceae;3.225;0.0212366;NA;NA;0.068488035;0.087649983
Tangara cayana;Schinus terebinthifolius;Anacardiaceae;2.75;0.0212366;3.74766594;2.65;0.05840065;0.087649983
Thraupis palmarum;Schinus terebinthifolius;Anacardiaceae;2.186;0.0212366;NA;NA;0.046423208;0.087649983
Turdus rufiventris;Schinus terebinthifolius;Anacardiaceae;2.04925;0.0212366;1.188403235;0.594201618;0.043519103;0.087649983
Tangara cyanocephala;Schinus terebinthifolius;Anacardiaceae;0.275;0.0212366;NA;NA;0.005840065;0.087649983
Turdus albicollis;Schefflera morototoni;Araliaceae;0.894;1.87775;NA;NA;1.6787085;0.92278
Thraupis sayaca;Schefflera morototoni;Araliaceae;0.788;1.87775;NA;NA;1.479667;0.92278
Thraupis palmarum;Schefflera morototoni;Araliaceae;0.6095;1.87775;0.053033009;0.0375;1.144488625;0.92278
Ramphastos vitellinus ;Schefflera morototoni;Araliaceae;0.469;1.87775;NA;NA;0.88066475;0.92278
Turdus rufiventris;Schefflera morototoni;Araliaceae;0.035;1.87775;0.03959798;0.028;0.06572125;0.92278
Thraupis palmarum;Protium heptaphyllum;Burseraceae;2.5825;4.2033384;2.061216267;1.4575;10.85512142;4.905616288
Euphonia chlorotica;Protium heptaphyllum;Burseraceae;1.61;4.2033384;1.921916231;1.359;6.767374824;4.905616288
Euphonia violacea;Protium heptaphyllum;Burseraceae;1.349;4.2033384;1.023890619;0.724;5.670303502;4.905616288
Thraupis sayaca;Protium heptaphyllum;Burseraceae;1.2305;4.2033384;0.549421969;0.3885;5.172207901;4.905616288
Procnias nudicollis;Protium heptaphyllum;Burseraceae;0.825990851;4.2033384;NA;NA;3.471919063;4.905616288
Turdus rufiventris;Protium heptaphyllum;Burseraceae;0.447;4.2033384;NA;NA;1.878892265;4.905616288
Tangara cayana;Protium heptaphyllum;Burseraceae;0.168;4.2033384;NA;NA;0.706160851;4.905616288
Ramphastos vitellinus ;Protium heptaphyllum;Burseraceae;0.156;4.2033384;NA;NA;0.65572079;4.905616288
Turdus albicollis;Protium heptaphyllum;Burseraceae;0.031;4.2033384;NA;NA;0.13030349;4.905616288
Euphonia chlorotica;Phoradendron piperoides;Santalaceae;4.798;0.1536285;NA;NA;0.737109543;0.552832157
Euphonia violacea;Phoradendron piperoides;Santalaceae;2.399;0.1536285;NA;NA;0.368554772;0.552832157
Euphonia violacea;Phoradendron crassifolium;Santalaceae;3.813;0.1536285;NA;NA;0.585785471;0.585785471
Euphonia chlorotica;Phoradendron affine;Santalaceae;35.998;0.1536285;0.45254834;0.32;5.530318743;5.530318743
Turdus rufiventris;Ocotea pulchella;Lauraceae;1.911;1.6260316;NA;NA;3.107346388;3.107346388
Turdus albicollis;Nectandra megapotamica;Lauraceae;8.331;1.926087336;NA;NA;16.0462336;6.13025447
Turdus rufiventris;Nectandra megapotamica;Lauraceae;4.2;1.926087336;NA;NA;8.089566813;6.13025447
Trogon surrucura;Nectandra megapotamica;Lauraceae;0.114;1.926087336;NA;NA;0.219573956;6.13025447
Tityra cayana;Nectandra megapotamica;Lauraceae;0.086;1.926087336;NA;NA;0.165643511;6.13025447
Turdus albicollis;Myrsine umbellata;Primulaceae;23.806;0.025792;NA;NA;0.614004352;0.122133717
Turdus rufiventris;Myrsine umbellata;Primulaceae;2.747;0.025792;NA;NA;0.070850624;0.122133717
Tangara cyanocephala;Myrsine umbellata;Primulaceae;1.605;0.025792;NA;NA;0.04139616;0.122133717
Thraupis sayaca;Myrsine umbellata;Primulaceae;0.1135;0.025792;0.054447222;0.0385;0.002927392;0.122133717
Tangara cayana;Myrsine umbellata;Primulaceae;0.027;0.025792;NA;NA;0.000696384;0.122133717
Thraupis palmarum;Myrsine gardneriana;Primulaceae;0.137;0.1690458;NA;NA;0.023159275;0.011382417
Thraupis sayaca;Myrsine gardneriana;Primulaceae;0.05;0.1690458;NA;NA;0.00845229;0.011382417
Tangara cayana;Myrsine gardneriana;Primulaceae;0.015;0.1690458;NA;NA;0.002535687;0.011382417
Turdus rufiventris;Myrsine coriacea;Primulaceae;9.238833333;0.2509052;6.975099065;2.847572269;2.318071325;0.765009955
Tangara cyanocephala;Myrsine coriacea;Primulaceae;2.729;0.2509052;1.501894803;1.062;0.684720291;0.765009955
Turdus albicollis;Myrsine coriacea;Primulaceae;1.7498;0.2509052;1.70708134;0.763429984;0.439033919;0.765009955
Ramphastos dicolorus;Myrsine coriacea;Primulaceae;1.095;0.2509052;NA;NA;0.274741194;0.765009955
Thraupis sayaca;Myrsine coriacea;Primulaceae;1.009666667;0.2509052;1.642046731;0.670362771;0.253330617;0.765009955
Tityra cayana;Myrsine coriacea;Primulaceae;0.699;0.2509052;NA;NA;0.175382735;0.765009955
Tangara seledon;Myrsine coriacea;Primulaceae;0.667;0.2509052;0;0;0.167353768;0.765009955
Thraupis palmarum;Myrsine coriacea;Primulaceae;0.1575;0.2509052;0.154856385;0.1095;0.039517569;0.765009955
Tangara cayana;Myrsine coriacea;Primulaceae;0.133;0.2509052;NA;NA;0.033370392;0.765009955
Turdus rufiventris;Miconia pusilliflora;Melastomataceae;0.118;0.471618;NA;NA;0.055650924;0.055650924
Euphonia violacea;Miconia prasina;Melastomataceae;8.4;1.124811;NA;NA;9.4484124;3.249204042
Thraupis palmarum;Miconia prasina;Melastomataceae;0.133;1.124811;NA;NA;0.149599863;3.249204042
Thraupis sayaca;Miconia prasina;Melastomataceae;0.133;1.124811;NA;NA;0.149599863;3.249204042
Thraupis sayaca;Magnolia ovata;Magnoliaceae;2.581;5.4475255;NA;NA;14.06006332;8.908520034
Turdus rufiventris;Magnolia ovata;Magnoliaceae;1.488;5.4475255;NA;NA;8.105917944;8.908520034
Tangara cayana;Magnolia ovata;Magnoliaceae;0.837;5.4475255;NA;NA;4.559578844;8.908520034
Thraupis sayaca;Ficus insipida;Moraceae;15;8.5932704;NA;NA;128.899056;128.899056
Thraupis sayaca;Ficus benjamina;Moraceae;8.459;1.1924686;NA;NA;10.08709189;5.741140075
Thraupis palmarum;Ficus benjamina;Moraceae;1.17;1.1924686;NA;NA;1.395188262;5.741140075
Aburria jacutinga;Euterpe edulis;Arecaceae;0.62475;5.178982;0.634376006;0.25898292;3.235569005;0.825184465
Selenidera maculirostris;Euterpe edulis;Arecaceae;0.40175;5.178982;0.596743963;0.210980851;2.080656019;0.825184465
