taxa	QTY_mean	energy_fruit	TE	s_energy	PDM
Schinus_terebinthifolius	4.127307692	0.0212366	0.087649983	3.0338	0.007
Tapirira_guianensis	1.079	9.4395962	10.1853243	16.5898	0.569
Schefflera_morototoni	0.491428571	1.87775	0.92278	16.1875	0.116
Euterpe_edulis	0.159333333	5.178982	0.825184465	16.034	0.323
Protium_heptaphyllum	1.167076219	4.2033384	4.905616288	4.5788	0.918
Trema_micrantha	3.416	0.1135254	0.387802766	18.9209	0.006
Sloanea_guianensis	0.238	2.751208924	0.654787724	15.0906	0.182312759
Erythroxylum_ambiguum	0.5338	4.2862848	2.288018826	31.5168	0.136
Alchornea_glandulosa	3.674833333	0.50070291	1.839999744	28.2883	0.0177
Alchornea_triplinervia	0.538	1.437793892	0.773533114	27.8615	0.0542925
Copaifera_langsdorffii	0.382833333	1.40287686	0.537068025	17.3516	0.08085
Nectandra_megapotamica	3.18275	1.926087336	6.13025447	25.1709	0.0765204
Ocotea_pulchella	1.911	1.6260316	3.107346388	21.9734	0.074
Magnolia_ovata	1.635333333	5.4475255	8.908520034	20.5567	0.265
Miconia_prasina	2.888666667	1.124811	3.249204042	12.4979	0.09
Miconia_pusilliflora	0.118	0.471618	0.055650924	8.274	0.057
Cabralea_canjerana	1.534955708	10.016055	15.37420079	28.6173	0.35
Ficus_benjamina	4.8145	1.1924686	5.741140075	14.5423	0.082
Sorocea_ilicifolia	0.400261401	4.480036	1.793185487	15.4484	0.29
Virola_bicuhyba	0.088714286	14.722418	1.306088797	20.7358	0.71
Virola_oleifera	0.008481609	11.0401599	0.093638315	27.1257	0.407
Virola_sebifera	0.3314	2.53614	0.840476796	21.1345	0.12
Eugenia_umbelliflora	0.8764	0.785252	0.688194853	3.0202	0.26
Eugenia_uniflora	1.81	6.4898256	11.74658434	15.0576	0.431
Myrsine_coriacea	3.049	0.2509052	0.765009955	19.3004	0.013
Myrsine_gardneriana	0.067333333	0.1690458	0.011382417	7.6839	0.022
Myrsine_umbellata	4.735333333	0.025792	0.122133717	3.224	0.008
Phoradendron_affine	35.998	0.1536285	5.530318743	21.045	0.0073
Phoradendron_crassifolium	3.813	0.1536285	0.585785471	21.045	0.0073
Cupania_oblongifolia	1.778166667	3.59	6.383618333	27.1756	0.132
Acnistus_arborescens	0.8335	0.254202624	0.211877887	9.8072	0.02592
Cecropia_glaziovii	0.035523869	5.0789972	0.180425631	4.2695	1.1896
Cecropia_pachystachya	0.007	5.38816	0.03771712	6.7352	0.8
Citharexylum_myrianthum	0.579571429	2.0816495	1.206464575	15.6515	0.133
