taxa;taxa;plant_familiy;QTY_mean;QTY_SE;energy_fruit;TE;TE2;s_energy;type;PDM;WATER;LIP;PRO;SSUGAR;INSUGAR;NSC
Schinus_terebinthifolius;Schinus terebinthifolius;Anacardiaceae;4.127307692;1.409973747;0.0212366;0.087649983;0.067437708;3.0338;2;0.007;0.66;0.055;0.069;0.009;NA;NA
Tapirira_guianensis;Tapirira guianensis;Anacardiaceae;1.079;0.468088006;9.4395962;10.1853243;10.70355813;16.5898;3;0.569;0.8;0.075;0.048;0.053;0.11;0.88
Schefflera_morototoni;Schefflera morototoni;Araliaceae;0.491428571;0.129047584;1.87775;0.92278;1.049850025;16.1875;3;0.116;0.78;0.179;0.119;NA;NA;0.546
Euterpe_edulis;Euterpe edulis;Arecaceae;0.159333333;0.039472204;5.178982;0.825184465;0.816603733;16.034;1;0.323;0.68;0.136;0.051;0.004;0.182;NA
Protium_heptaphyllum;Protium heptaphyllum;Burseraceae;1.167076219;0.336954566;4.2033384;4.905616288;3.923111567;4.5788;2;0.918;0.8;0.099;0.064;0.014;NA;NA
Trema_micrantha;Trema micrantha;Cannabaceae;3.416;1.388456016;0.1135254;0.387802766;0.466808876;18.9209;2;0.006;NA;0.488;0.107;0.001;0.021;NA
Sloanea_guianensis;Sloanea guianensis;Elaeocarpaceae;0.238;0.056689799;2.751208924;0.654787724;0.654787724;15.0906;1;0.182312759;0.91;0.025;0.069;NA;NA;NA
Erythroxylum_ambiguum;Erythroxylum ambiguum;Erythroxylaceae;0.5338;0.274403426;4.2862848;2.288018826;2.104030051;31.5168;1;0.136;NA;0.88;0.008;NA;NA;NA
Alchornea_glandulosa;Alchornea glandulosa;Euphorbiaceae;3.674833333;1.313338112;0.50070291;1.839999744;1.397759859;28.2883;1;0.0177;0.41;0.684;0.076;NA;NA;NA
Alchornea_triplinervia;Alchornea triplinervia;Euphorbiaceae;0.538;0.236006356;1.437793892;0.773533114;0.756199182;27.8615;1;0.0542925;0.43;0.671;0.078;0.015;0.065;NA
Copaifera_langsdorffii;Copaifera langsdorffii;Fabaceae;0.382833333;0.200217285;1.40287686;0.537068025;0.644446558;17.3516;1;0.08085;0.75;0.155;0.093;NA;NA;NA
Vitex_polygama;Vitex polygama;Lamiaceae;10.2;NA;0.657408;6.7055616;6.7055616;1.3696;2;0.48;0.76;0.016;0.036;0.02;NA;NA
Cinnamomum_triplinerve;Cinnamomum triplinerve;Lauraceae;12;NA;2.5035322;30.0423864;30.0423864;11.3282;3;0.221;NA;0.28;0.012;NA;NA;0.09
Nectandra_megapotamica;Nectandra megapotamica;Lauraceae;3.18275;1.96948307;1.926087336;6.13025447;6.13025447;25.1709;3;0.0765204;0.56;0.589;0.11;NA;NA;0.199
Ocotea_pulchella;Ocotea pulchella;Lauraceae;1.911;NA;1.6260316;3.107346388;3.107346388;21.9734;2;0.074;0.66;0.606;0.052;0.002;NA;NA
Magnolia_ovata;Magnolia ovata;Magnoliaceae;1.635333333;0.508810486;5.4475255;8.908520034;8.908520034;20.5567;2;0.265;NA;0.526;0.073;0.004;0.07;NA
Miconia_prasina;Miconia prasina;Melastomataceae;2.888666667;2.755666667;1.124811;3.249204042;3.249204042;12.4979;3;0.09;NA;0.022;0.035;NA;NA;0.744
Miconia_pusilliflora;Miconia pusilliflora;Melastomataceae;0.118;NA;0.471618;0.055650924;0.055650924;8.274;2;0.057;NA;0.111;0.141;0.089;0.07;NA
Cabralea_canjerana;Cabralea canjerana;Meliaceae;1.534955708;0.781397019;10.016055;15.37420079;22.3985542;28.6173;1;0.35;0.41;0.711;0.088;0.012;NA;NA
