species;plant;plant_family;QTY;QTY_SD;energy_fruit;QTY_SE;imp_fruit_visit;imp_fruit_visit_SE;TE
Aburria jacutintga;Cecropia glaziovii;Urticacea;0.017333333;0.02145538;5.0789972;0.01072769;0.13;0;0.088035951
Aburria jacutintga;Citharexylum myrianthum;Verbenaceae;NA;NA;2.0816495;NA;11.73867556;NA;NA
Aburria jacutintga;Cordia silvestris;Boraginaceae;NA;NA;1.0746525;NA;31.30313483;NA;NA
Aburria jacutintga;Cupania oblongifolia;Sapindaceae;NA;NA;3.59;NA;13.41562921;NA;NA
Aburria jacutintga;Euterpe edulis;Arecaceae;0.62475;0.634376006;5.178982;0.25898292;41.98166667;9.934027185;3.235569005
Aburria jacutintga;Ficus enormis;Moraceae;NA;NA;4.3065269;NA;14.44760069;NA;NA
Aburria jacutintga;Nectandra megapotamica;Lauraceae;NA;NA;1.926087336;NA;56.91479061;NA;NA
Aburria jacutintga;Phytolacca dioica;Phytolaccaceae;NA;NA;2.7754416;NA;71.68656832;NA;NA
Aburria jacutintga;Quiina glazovii;Quiinaceae;NA;NA;3.411751;NA;5.878522973;NA;NA
Aburria jacutintga;Virola bicuhyba;Myristicaceae;0.077;NA;14.722418;NA;6;NA;1.133626186
Aburria jacutintga;Virola oleifera;Myristicaceae;NA;NA;11.0401599;NA;6;NA;NA
Penelope obscura;Euterpe edulis;Arecaceae;0.0782;0.048318733;5.178982;0.01972604;8.97;0.258547223;0.404996392
Penelope obscura;Nectandra megapotamica;Lauraceae;NA;NA;1.926087336;NA;77.13558185;NA;NA
Penelope obscura;Quiina glazovii;Quiinaceae;NA;NA;3.411751;NA;7.967055402;NA;NA
