species;plant;plant_family;QTY;QTY_SD;QTY_SE;energy_fruit;digest;QLY_digest;QLY_SE;TE;digest_data
Baillonius bailloni;Cabralea canjerana;Meliaceae;0.53;NA;NA;10.016055;NA;14.7665268;NA;5.30850915;NO
Ramphastos dicolorus;Cabralea canjerana;Meliaceae;1.994;NA;NA;10.016055;NA;14.7665268;NA;19.97201367;NO
Ramphastos vitellinus;Cabralea canjerana;Meliaceae;3.125;NA;NA;10.016055;NA;14.7665268;NA;31.30017188;NO
Ramphastos dicolorus;Cecropia glaziovii;Urticaceae;0.022175;0.030865211;0.021825;5.0789972;NA;5.0789972;NA;0.112626763;NO
Selenidera maculirostris;Cecropia glaziovii;Urticaceae;0.0435;0.050204581;0.0355;5.0789972;NA;5.0789972;NA;0.220936378;NO
Ramphastos dicolorus;Cecropia glaziovii digest;Urticaceae;0.022175;0.030865211;0.021825;5.0789972;0.182531488;0.927076915;0.287390822;0.020557931;YES
Ramphastos dicolorus;Erythroxylum ambiguum;Erythroxylaceae;0.054;NA;NA;4.2862848;NA;4.2862848;NA;0.231459379;NO
Ramphastos dicolorus;Eugenia uniflora;Myrtaceae;0.033;NA;NA;6.4898256;NA;6.4898256;NA;0.214164245;NO
Baillonius bailloni;Euterpe edulis;Arecaceae;0.234333333;0.229225508;0.132343409;5.178982;NA;5.178982;NA;1.213608115;NO
Ramphastos dicolorus;Euterpe edulis;Arecaceae;0.0425;0.028218535;0.009976759;5.178982;NA;5.178982;NA;0.220106735;NO
Ramphastos vitellinus;Euterpe edulis;Arecaceae;0.1045;0.077249133;0.027311693;5.178982;NA;5.178982;NA;0.541203619;NO
Selenidera maculirostris;Euterpe edulis;Arecaceae;0.40175;0.596743963;0.210980851;5.178982;NA;5.178982;NA;2.080656019;NO
Ramphastos dicolorus;Euterpe edulis digest;Arecaceae;0.0425;0.028218535;0.009976759;5.178982;0.313260515;1.622370568;0.433765602;0.068950749;YES
Ramphastos dicolorus;Myrsine coriacea;Primulaceae;1.095;NA;NA;0.2509052;NA;0.2509052;NA;0.274741194;NO
Ramphastos vitellinus;Protium heptaphyllum;Burseraceae;0.156;NA;NA;4.2033384;NA;4.2033384;NA;0.65572079;NO
Ramphastos vitellinus;Schefflera morototoni;Araliaceae;0.469;NA;NA;1.87775;NA;1.87775;NA;0.88066475;NO
Selenidera maculirostris;Sloanea guianensis;Elaeocarpaceae;0.357;NA;NA;2.751208924;NA;2.751208924;NA;0.982181586;NO
Ramphastos vitellinus;Virola bicuhyba;Myristicaceae;0.013;NA;NA;14.722418;NA;14.722418;NA;0.191391434;NO
Selenidera maculirostris;Virola bicuhyba;Myristicaceae;0.078;NA;NA;14.722418;NA;14.722418;NA;1.148348604;NO
Baillonius bailloni;Virola oleifera;Myristicaceae;0.007;NA;NA;11.0401599;NA;11.0401599;NA;0.077281119;NO
Ramphastos dicolorus;Virola oleifera;Myristicaceae;0.015;NA;NA;11.0401599;NA;11.0401599;NA;0.165602399;NO
Selenidera maculirostris;Virola oleifera;Myristicaceae;0.004;NA;NA;11.0401599;NA;11.0401599;NA;0.04416064;NO
Ramphastos dicolorus;Vitex polygama;Lamiaceae;10.2;NA;NA;0.657408;NA;0.657408;NA;6.7055616;NO
