species;plant;plant_family;QTY;QTY_SD;QTY_SE;energy_fruit;TE
Trogon surrucura;Alchornea triplinervia;Euphorbiaceae;0.69;NA;NA;1.400355594;0.96624536
Trogon surrucura;Cabralea canjerana;Meliaceae;0.1365;0.072831998;0.0515;10.016055;1.367191508
Trogon surrucura;Cecropia glaziovii;Urticaceae;0.001;NA;NA;5.0789972;0.005078997
Trogon surrucura;Coussapoa microcarpa;Urticaceae;NA;NA;NA;0.4939106;NA
Trogon surrucura;Ilex brevicuspis;Aquifoliaceae;0.028;NA;NA;NA;NA
Trogon surrucura;Nectandra megapotamica;Lauraceae;0.114;NA;NA;1.926087336;0.219573956
Trogon surrucura;Trichilia claussenii;Meliaceae;0.022;NA;NA;NA;NA
Trogon viridis;Cecropia glaziovii;Urticaceae;0.002666667;0.001527525;0.000881917;5.0789972;0.013543993
Trogon viridis;Euterpe edulis;Arecaceae;0.2934;0.72044696;0.227825333;5.178982;1.519513319
Trogon viridis;Virola bicuhyba;Myristicaceae;0.336;NA;NA;14.722418;4.946732448
Trogon viridis;Virola oleifera;Myristicaceae;0.011;NA;NA;11.0401599;0.121441759
