species;plant;plant_family;QTY;QTY_SD;QTY_SE;energy_fruit;digest;QLY_digest;QLY_SE;TE;digest_data
Turdus albicollis;Alchornea glandulosa;Euphorbiaceae;3.104;1.561;1.104;0.501;NA;0.501;NA;1.554;NO
Turdus rufiventris;Alchornea glandulosa;Euphorbiaceae;4.981;4.388;3.103;0.501;NA;0.501;NA;2.494;NO
Turdus albicollis;Alchornea triplinervia;Euphorbiaceae;0.075;NA;NA;1.513;NA;1.513;NA;0.113;NO
Turdus rufiventris;Alchornea triplinervia;Euphorbiaceae;0.849;NA;NA;1.4;NA;1.4;NA;1.189;NO
Turdus albicollis;Cabralea canjerana;Meliaceae;0.523;0.288;0.204;10.016055;NA;10.016055;NA;5.238396765;NO
Turdus rufiventris;Cabralea canjerana;Meliaceae;0.529;0.225;0.159;10.016055;NA;10.016055;NA;5.298493095;NO
Turdus rufiventris;Cecropia glaziovii;Urticaceae;0.001;NA;NA;5.079;NA;5.079;NA;0.005;NO
Turdus rufiventris;Cinnamomun triplinerve;Lauraceae;12;NA;NA;2.504;NA;2.504;NA;30.042;NO
Turdus albicollis;Citharexylum myrianthum;Verbenaceae;0.5;NA;NA;2.082;NA;2.082;NA;1.041;NO
Turdus rufiventris;Citharexylum myrianthum;Verbenaceae;0.517;0.636;0.45;2.082;NA;2.082;NA;1.076;NO
Turdus albicollis;Copaifera langsdorffii;Fabaceae;0.028;NA;NA;1.403;NA;1.403;NA;0.039;NO
Turdus rufiventris;Copaifera langsdorffii;Fabaceae;0.249;0.214;0.152;1.403;NA;1.403;NA;0.349;NO
Turdus albicollis;Cupania oblongifolia;Sapindaceae;0.571;NA;NA;3.5871792;NA;3.5871792;NA;2.048279323;NO
Turdus rufiventris;Cupania oblongifolia;Sapindaceae;4.979;4.778;3.379;3.5871792;NA;3.5871792;NA;17.86056524;NO
Turdus albicollis;Erythroxylum ambiguum;Erythroxylaceae;0.7055;0.91;0.6445;4.286;NA;4.286;NA;3.023773;NO
Turdus rufiventris;Erythroxylum ambiguum;Erythroxylaceae;0.168;NA;NA;4.286;NA;4.286;NA;0.72;NO
Turdus albicollis;Eugenia umbelliflora;Myrtaceae;0.52;NA;NA;0.785;NA;0.785;NA;0.408;NO
Turdus rufiventris;Eugenia umbelliflora;Myrtaceae;0.837;NA;NA;0.785;NA;0.785;NA;0.657;NO
Turdus rufiventris;Eugenia uniflora;Myrtaceae;0.1;NA;NA;6.49;NA;6.49;NA;0.649;NO
Turdus albicollis;Euterpe edulis;Arecaceae;0.094;0.116;0.033;5.179;NA;5.179;NA;0.484;NO
Turdus rufiventris;Euterpe edulis;Arecaceae;0.056;0.084;0.028;5.179;NA;5.179;NA;0.291;NO
Turdus rufiventris;Magnolia ovata;Magnoliaceae;1.488;NA;NA;5.448;NA;5.448;NA;8.106;NO
Turdus rufiventris;Miconia pusilliflora;Melastomataceae;0.118;NA;NA;0.472;NA;0.472;NA;0.056;NO
Turdus albicollis;Myrsine coriacea;Primulaceae;1.75;1.707;0.763;0.251;NA;0.251;NA;0.439;NO
Turdus rufiventris;Myrsine coriacea;Primulaceae;9.239;6.975;2.848;0.251;NA;0.251;NA;2.318;NO
Turdus albicollis;Myrsine umbellata;Primulaceae;23.806;NA;NA;0.026;NA;0.026;NA;0.614;NO
Turdus rufiventris;Myrsine umbellata;Primulaceae;2.747;NA;NA;0.026;NA;0.026;NA;0.071;NO
Turdus albicollis;Nectandra megapotamica;Lauraceae;8.331;NA;NA;1.926;NA;1.926;NA;16.046;NO
Turdus rufiventris;Nectandra megapotamica;Lauraceae;4.2;NA;NA;1.926;NA;1.926;NA;8.09;NO
Turdus rufiventris;Ocotea pulchella;Lauraceae;1.911;NA;NA;1.626;NA;1.626;NA;3.107;NO
Turdus albicollis;Protium heptaphyllum;Burseraceae;0.031;NA;NA;4.203;NA;4.203;NA;0.13;NO
Turdus rufiventris;Protium heptaphyllum;Burseraceae;0.447;NA;NA;4.203;NA;4.203;NA;1.879;NO
Turdus albicollis;Schefflera morototoni;Araliaceae;0.894;NA;NA;1.878;NA;1.878;NA;1.679;NO
Turdus rufiventris;Schefflera morototoni;Araliaceae;0.035;0.04;0.028;1.878;NA;1.878;NA;0.066;NO
Turdus albicollis;Schinus terebinthifolius;Anacardiaceae;3.225;NA;NA;0.021;NA;0.021;NA;0.068;NO
Turdus rufiventris;Schinus terebinthifolius;Anacardiaceae;2.049;1.188;0.594;0.021;NA;0.021;NA;0.044;NO
Turdus rufiventris;Trema micrantha;Cannabaceae;11.154;NA;NA;0.114;NA;0.114;NA;1.266;NO
Turdus rufiventris;Trema micrantha digest;Cannabaceae;11.154;NA;NA;0.114;0.595325545;0.067867112;0.008147348;0.756989769;YES
Turdus albicollis;Virola bicuhyba;Myristicaceae;0.065;NA;NA;14.722;NA;14.722;NA;0.957;NO
Turdus rufiventris;Virola bicuhyba;Myristicaceae;0.026;NA;NA;14.722;NA;14.722;NA;0.383;NO
Turdus albicollis;Virola sebifera;Myristicaceae;0.031;NA;NA;2.536;NA;2.536;NA;0.079;NO
Turdus rufiventris;Virola sebifera;Myristicaceae;0.338;NA;NA;2.536;NA;2.536;NA;0.857;NO
