species;diet;fruit species;body mass;seed passage (min);SD seed passage (min);seed regurgitation (min);SD seed regurgitation (min);study;ref
Pipra mentalis;frugivore;4;14.2;11.50;1.43;8.6;0.7;Worthington 1989;Worthington, A. H. 1989. Adaptations for avian frugivory: assimilation efficiency and gut transit time of Manacus vitellinus and Pipra mentalis. - Oecologia 80: 381–389.
Manacus vitellinus;frugivore;4;17.9;15.10;2.24;6.8;0.98;Worthington 1989;Worthington, A. H. 1989. Adaptations for avian frugivory: assimilation efficiency and gut transit time of Manacus vitellinus and Pipra mentalis. - Oecologia 80: 381–389.
Pipra mentalis;frugivore;7;14.9;12.50;6.30;NA;NA;Levey 1986;Levey DJ (1986) Methods of seed processing by birds and seed deposition patterns. In: Estrada A Fleming TH (eds) Frugivores and seed dispersal. Dr. W. Junk Publishers Dordrecht  pp 142158
Manacus candei;frugivore;7;19.9;10.00;4.10;NA;NA;Levey 1986;Levey DJ (1986) Methods of seed processing by birds and seed deposition patterns. In: Estrada A Fleming TH (eds) Frugivores and seed dispersal. Dr. W. Junk Publishers Dordrecht  pp 142158
Arremon aurantirostris;granivore;7;34.5;31.30;11.10;NA;NA;Levey 1986;Levey DJ (1986) Methods of seed processing by birds and seed deposition patterns. In: Estrada A Fleming TH (eds) Frugivores and seed dispersal. Dr. W. Junk Publishers Dordrecht  pp 142158
Carythraustes poliogaster;granivore;7;41.8;43.40;39.20;NA;NA;Levey 1986;Levey DJ (1986) Methods of seed processing by birds and seed deposition patterns. In: Estrada A Fleming TH (eds) Frugivores and seed dispersal. Dr. W. Junk Publishers Dordrecht  pp 142158
Euphonia gouldi;frugivore;7;14.0;9.20;3.80;NA;NA;Levey 1986;Levey DJ (1986) Methods of seed processing by birds and seed deposition patterns. In: Estrada A Fleming TH (eds) Frugivores and seed dispersal. Dr. W. Junk Publishers Dordrecht  pp 142158
Tachyphonus delatrii;frugivore;7;18.0;22.50;14.10;NA;NA;Levey 1986;Levey DJ (1986) Methods of seed processing by birds and seed deposition patterns. In: Estrada A Fleming TH (eds) Frugivores and seed dispersal. Dr. W. Junk Publishers Dordrecht  pp 142158
Ramphocelus passerinii;frugivore;7;32.0;32.20;13.50;NA;NA;Levey 1986;Levey DJ (1986) Methods of seed processing by birds and seed deposition patterns. In: Estrada A Fleming TH (eds) Frugivores and seed dispersal. Dr. W. Junk Publishers Dordrecht  pp 142158
Thraupis palmarum;frugivore;7;39.0;15.00;6.70;NA;NA;Levey 1986;Levey DJ (1986) Methods of seed processing by birds and seed deposition patterns. In: Estrada A Fleming TH (eds) Frugivores and seed dispersal. Dr. W. Junk Publishers Dordrecht  pp 142158
Mitrospingus cassinii;frugivore;7;40.4;23.10;7.50;NA;NA;Levey 1986;Levey DJ (1986) Methods of seed processing by birds and seed deposition patterns. In: Estrada A Fleming TH (eds) Frugivores and seed dispersal. Dr. W. Junk Publishers Dordrecht  pp 142158
Casuarius casuarius;frugivore;11;44000.0;433.36;306.27;NA;NA;Guttal et al 2012;Guttal, V. et al. 2011. Retention time variability as a mechanism for animal mediated Long-Distance dispersal. - PLoS One in press.
Ceratogymna atrata;frugivore;5;1203.5;248.40;26.40;NA;NA;Guttal et al 2013;Guttal, V. et al. 2011. Retention time variability as a mechanism for animal mediated Long-Distance dispersal. - PLoS One in press.
Ceratogymna cylindricus;frugivore;7;921.0;218.43;28.57;NA;NA;Guttal et al 2014;Guttal, V. et al. 2011. Retention time variability as a mechanism for animal mediated Long-Distance dispersal. - PLoS One in press.
Musophaga johnstoni;frugivore;6;240.0;69.60;17.63;NA;NA;Guttal et al 2015;Guttal, V. et al. 2011. Retention time variability as a mechanism for animal mediated Long-Distance dispersal. - PLoS One in press.
Turdus albicollis;frugivore;4;54.0;12.30;NA;6.65;3.4;Gasperin & Pizo 2012;Gasperin, G. and Pizo, M. 2012. Passage time of seeds through the guts of frugivorous birds, a first assessment in Brazil. - Rev. Bras. Ornitol. 20: 48–51.
Turdus amaurochalinus;frugivore;5;57.9;33.58;5.25;16.15;NA;Gasperin & Pizo 2013;Gasperin, G. and Pizo, M. 2012. Passage time of seeds through the guts of frugivorous birds, a first assessment in Brazil. - Rev. Bras. Ornitol. 20: 48–51.
Turdus leucomelas;frugivore;1;69.1;45.00;;20;NA;Gasperin & Pizo 2014;Gasperin, G. and Pizo, M. 2012. Passage time of seeds through the guts of frugivorous birds, a first assessment in Brazil. - Rev. Bras. Ornitol. 20: 48–51.
Turdus rufiventris;frugivore;1;66.8;NA;NA;20;NA;Gasperin & Pizo 2015;Gasperin, G. and Pizo, M. 2012. Passage time of seeds through the guts of frugivorous birds, a first assessment in Brazil. - Rev. Bras. Ornitol. 20: 48–51.
Stephanophorus diadematus;frugivore;5;35.4;15.00;6.00;NA;NA;Gasperin & Pizo 2016;Gasperin, G. and Pizo, M. 2012. Passage time of seeds through the guts of frugivorous birds, a first assessment in Brazil. - Rev. Bras. Ornitol. 20: 48–51.
Saltator similis;frugivore;3;43.3;30.67;19.60;NA;NA;Gasperin & Pizo 2017;Gasperin, G. and Pizo, M. 2012. Passage time of seeds through the guts of frugivorous birds, a first assessment in Brazil. - Rev. Bras. Ornitol. 20: 48–51.
Ramphastos dicolorus;frugivore;2;331.0;24.00;7.00;12;NA;Elena feeding experiments 2017;NA
Ramphastos toco;frugivore;1;618.0;43.20;2.13;13.88;0.46;Elena feeding experiments 2018;NA
