species;plant;plant_family;QTY;energy_fruit;QTY_SD;QTY_SE;TE
Tityra cayana;Cabralea canjerana;Meliaceae;8.821;10.016055;NA;NA;88.35162116
Tityra cayana;Cecropia glaziovii;Urticaceae;0.003113333;5.0789972;0.003466776;0.002001544;0.015812611
Tityra cayana;Euterpe edulis;Arecaceae;0.00675;5.178982;0.002872281;0.001436141;0.034958129
Tityra cayana;Myrsine coriacea;Primulaceae;0.699;0.2509052;NA;NA;0.175382735
Tityra cayana;Nectandra megapotamica;Lauraceae;0.086;1.926087336;NA;NA;0.165643511
Tityra cayana;Sloanea guianensis;Elaeocarpaceae;0.071;2.751208924;NA;NA;0.195335834
Tityra cayana;Virola sebifera;Myristicaceae;0.144;2.53614;0.062225397;0.044;0.36520416
Procnias nudicollis;Eugenia umbelliflora;Myrtaceae;0.26;0.785252;NA;NA;0.20416552
Procnias nudicollis;Euterpe edulis;Arecaceae;0.0945;5.178982;0.077069542;0.027248198;0.489413799
Procnias nudicollis;Protium heptaphyllum;Burseraceae;0.825990851;4.2033384;NA;NA;3.471919063
Procnias nudicollis;Sorocea ilicifolia;Moraceae;0.400261401;4.480036;NA;NA;1.793185487
Procnias nudicollis;Virola oleifera;Myristicaceae;0.005408043;11.0401599;NA;NA;0.059705661
