species;plant;plant_family;QTY;energy_fruit;QTY_SD;QTY_SE;TE
Tangara cyanocephala;Alchornea glandulosa;Euphorbiaceae;0.833;0.50070291;NA;NA;0.417085524
Tangara cyanocephala;Cecropia glaziovii;Urticaceae;0.00094;5.0789972;NA;NA;0.004774257
Tangara cyanocephala;Euterpe edulis;Arecaceae;0.007;5.178982;NA;NA;0.036252874
Tangara cyanocephala;Myrsine coriacea;Primulaceae;2.729;0.2509052;1.501894803;1.062;0.684720291
Tangara cyanocephala;Myrsine umbellata;Primulaceae;1.605;0.025792;NA;NA;0.04139616
Tangara cyanocephala;Schinus terebinthifolius;Anacardiaceae;0.275;0.0212366;NA;NA;0.005840065
Tangara cyanocephala;Sloanea guianensis;Elaeocarpaceae;0.286;2.751208924;NA;NA;0.786845752
Tangara cyanocephala;Trema micrantha;Cannabaceae;1.462;0.1135254;NA;NA;0.165974135
Tangara seledon;Alchornea glandulosa;Euphorbiaceae;0.98;0.50070291;NA;NA;0.490688852
Tangara seledon;Cecropia glaziovii;Urticaceae;0.003;5.0789972;NA;NA;0.015236992
Tangara seledon;Euterpe edulis;Arecaceae;0.0125;5.178982;0.006403124;0.003201562;0.064737275
Tangara seledon;Myrsine coriacea;Primulaceae;0.667;0.2509052;NA;NA;0.167353768
Tangara seledon;Sloanea guianensis;Elaeocarpaceae;0.25;2.751208924;NA;NA;0.687802231
