species;plant;plant_family;QTY;QTY_SD;QTY_SE;energy_fruit;digest;QLY_digest;QLY_SE;TE;digest_data
Thraupis sayaca;Acnistus arborescens;Solanaceae;0.611;NA;NA;0.254202624;NA;0.254202624;NA;0.155317803;NO
Thraupis sayaca;Alchornea glandulosa;Euphorbiaceae;7.508666667;7.839168408;4.525945991;0.50070291;NA;0.50070291;NA;3.75961125;NO
Thraupis palmarum;Alchornea glandulosa;Euphorbiaceae;1.455;0.876812409;0.62;0.50070291;NA;0.50070291;NA;0.728522734;NO
Thraupis sayaca;Cecropia glaziovii;Urticaceae;0.263;0.36910974;0.261;5.0789972;NA;5.0789972;NA;1.335776264;NO
Thraupis palmarum;Cecropia glaziovii;Urticaceae;0.0585;0.065760931;0.0465;5.0789972;NA;5.0789972;NA;0.297121336;NO
Thraupis sayaca;Cecropia pachystachya;Urticaceae;0.007;0.002828427;0.002;5.38816;NA;5.38816;NA;0.03771712;NO
Thraupis palmarum;Cecropia pachystachya;Urticaceae;0.005;0.002828427;0.002;5.38816;NA;5.38816;NA;0.0269408;NO
Thraupis sayaca;Citharexylum myrianthum;Verbenaceae;0.774333333;0.666338002;0.384710425;2.0816495;NA;2.0816495;NA;1.611890596;NO
Thraupis sayaca;Copaifera langsdorffii;Fabaceae;1.35;NA;NA;1.40287686;NA;1.40287686;NA;1.893883761;NO
Thraupis sayaca;Cupania oblongifolia;Sapindaceae;0.062;NA;NA;3.5871792;NA;3.59;NA;0.22240511;NO
Thraupis palmarum;Cupania oblongifolia;Sapindaceae;0.062;NA;NA;3.5871792;NA;3.59;NA;0.22240511;NO
Thraupis sayaca;Erythroxylum ambiguum;Erythroxylaceae;1.036;NA;NA;4.2862848;NA;4.2862848;NA;4.440591053;NO
Thraupis sayaca;Eugenia umbelliflora;Myrtaceae;2.6;NA;NA;0.785252;NA;0.785252;NA;2.0416552;NO
Thraupis palmarum;Eugenia umbelliflora;Myrtaceae;0.165;NA;NA;0.785252;NA;0.785252;NA;0.12956658;NO
Thraupis sayaca;Eugenia uniflora;Myrtaceae;2.972333333;3.070585666;1.772803461;6.4898256;NA;6.4898256;NA;19.28992496;NO
Thraupis sayaca;Ficus benjamina;Moraceae;8.459;NA;NA;1.1924686;NA;1.1924686;NA;10.08709189;NO
Thraupis palmarum;Ficus benjamina;Moraceae;1.17;NA;NA;1.1924686;NA;1.1924686;NA;1.395188262;NO
Thraupis sayaca;Ficus insipida;Moraceae;15;NA;NA;8.5932704;NA;8.5932704;NA;128.899056;NO
Thraupis sayaca;Magnolia ovata;Magnoliaceae;2.581;NA;NA;5.4475255;NA;5.4475255;NA;14.06006332;NO
Thraupis sayaca;Miconia prasina;Melastomataceae;0.133;NA;NA;1.124811;NA;1.124811;NA;0.149599863;NO
Thraupis palmarum;Miconia prasina;Melastomataceae;0.133;NA;NA;1.124811;NA;1.124811;NA;0.149599863;NO
Thraupis sayaca;Myrsine coriacea;Primulaceae;1.009666667;1.642046731;0.670362771;0.2509052;NA;0.2509052;NA;0.253330617;NO
Thraupis palmarum;Myrsine coriacea;Primulaceae;0.1575;0.154856385;0.1095;0.2509052;NA;0.2509052;NA;0.039517569;NO
Thraupis sayaca;Myrsine gardneriana;Primulaceae;0.05;NA;NA;0.1690458;NA;0.1690458;NA;0.00845229;NO
Thraupis palmarum;Myrsine gardneriana;Primulaceae;0.137;NA;NA;0.1690458;NA;0.1690458;NA;0.023159275;NO
Thraupis sayaca;Myrsine umbellata;Primulaceae;0.1135;0.054447222;0.0385;0.025792;NA;0.025792;NA;0.002927392;NO
Thraupis sayaca;Protium heptaphyllum;Burseraceae;1.2305;0.549421969;0.3885;4.2033384;NA;4.2033384;NA;5.172207901;NO
Thraupis palmarum;Protium heptaphyllum;Burseraceae;2.5825;2.061216267;1.4575;4.2033384;NA;4.2033384;NA;10.85512142;NO
Thraupis sayaca;Schefflera morototoni;Araliaceae;0.788;NA;NA;1.87775;NA;1.87775;NA;1.479667;NO
Thraupis palmarum;Schefflera morototoni;Araliaceae;0.6095;0.053033009;0.0375;1.87775;NA;1.87775;NA;1.144488625;NO
Thraupis sayaca;Schinus terebinthifolius;Anacardiaceae;8.568;7.582453297;3.791226648;0.0212366;NA;0.0212366;NA;0.181955189;NO
Thraupis palmarum;Schinus terebinthifolius;Anacardiaceae;2.186;NA;NA;0.0212366;NA;0.0212366;NA;0.046423208;NO
Thraupis sayaca;Tapirira guianensis;Anacardiaceae;3.179;NA;NA;9.4395962;NA;9.4395962;NA;30.00847632;NO
Thraupis palmarum;Tapirira guianensis;Anacardiaceae;0.8535;1.167433296;0.8255;9.4395962;NA;9.4395962;NA;8.056695357;NO
Thraupis sayaca;Trema micrantha;Cannabaceae;2.724666667;3.926053022;2.266707769;0.1135254;NA;0.1135254;NA;0.309318873;NO
Thraupis palmarum;Trema micrantha;Cannabaceae;1.319;1.723926333;1.219;0.1135254;NA;0.1135254;NA;0.149740003;NO
Thraupis sayaca;Trema micrantha digest;Cannabaceae;2.724666667;3.926053022;2.266707769;0.1135254;0.703476483;0.079862449;0.00812554;0.217598553;YES
Thraupis palmarum;Virola bicuhyba;Myristicaceae;0.026;NA;NA;14.722418;NA;14.722418;NA;0.382782868;NO
Thraupis palmarum;Virola sebifera;Myristicaceae;1;NA;NA;2.53614;NA;2.53614;NA;2.53614;NO
