species;plant;plant_family;QTY;QTY_SD;QTY_SE;energy_fruit;TE
Turdus albicollis;Alchornea glandulosa;Euphorbiaceae;3.104;1.561;1.104;0.501;1.554
Turdus rufiventris;Alchornea glandulosa;Euphorbiaceae;4.981;4.388;3.103;0.501;2.494
Turdus albicollis;Alchornea triplinervia;Euphorbiaceae;0.075;NA;NA;1.513;0.113
Turdus rufiventris;Alchornea triplinervia;Euphorbiaceae;0.849;NA;NA;1.4;1.189
Turdus albicollis;Cabralea canjerana;Meliaceae;0.523;0.288;0.204;10.016055;5.238396765
Turdus rufiventris;Cabralea canjerana;Meliaceae;0.529;0.225;0.159;10.016055;5.298493095
Turdus rufiventris;Cecropia glaziovii;Urticaceae;0.001;NA;NA;5.079;0.005
Turdus rufiventris;Cinnamomun triplinerve;Lauraceae;12;NA;NA;2.504;30.042
Turdus albicollis;Citharexylum myrianthum;Verbenaceae;0.5;NA;NA;2.082;1.041
Turdus rufiventris;Citharexylum myrianthum;Verbenaceae;0.517;0.636;0.45;2.082;1.076
Turdus albicollis;Copaifera langsdorffii;Fabaceae;0.028;NA;NA;1.403;0.039
Turdus rufiventris;Copaifera langsdorffii;Fabaceae;0.249;0.214;0.152;1.403;0.349
Turdus albicollis;Cupania oblongifolia;Sapindaceae;0.571;NA;NA;3.5871792;2.048279323
Turdus rufiventris;Cupania oblongifolia;Sapindaceae;4.979;4.778;3.379;3.5871792;17.86056524
Turdus albicollis;Erythroxylum ambiguum;Erythroxylaceae;0.7055;0.91;0.6445;4.286;3.023773
Turdus rufiventris;Erythroxylum ambiguum;Erythroxylaceae;0.168;NA;NA;4.286;0.72
Turdus albicollis;Eugenia umbelliflora;Myrtaceae;0.52;NA;NA;0.785;0.408
Turdus rufiventris;Eugenia umbelliflora;Myrtaceae;0.837;NA;NA;0.785;0.657
Turdus rufiventris;Eugenia uniflora;Myrtaceae;0.1;NA;NA;6.49;0.649
Turdus albicollis;Euterpe edulis;Arecaceae;0.094;0.116;0.033;5.179;0.484
Turdus rufiventris;Euterpe edulis;Arecaceae;0.056;0.084;0.028;5.179;0.291
Turdus rufiventris;Magnolia ovata;Magnoliaceae;1.488;NA;NA;5.448;8.106
Turdus rufiventris;Miconia pusilliflora;Melastomataceae;0.118;NA;NA;0.472;0.056
Turdus albicollis;Myrsine coriacea;Primulaceae;1.75;1.707;0.763;0.251;0.439
Turdus rufiventris;Myrsine coriacea;Primulaceae;9.239;6.975;2.848;0.251;2.318
Turdus albicollis;Myrsine umbellata;Primulaceae;23.806;NA;NA;0.026;0.614
Turdus rufiventris;Myrsine umbellata;Primulaceae;2.747;NA;NA;0.026;0.071
Turdus albicollis;Nectandra megapotamica;Lauraceae;8.331;NA;NA;1.926;16.046
Turdus rufiventris;Nectandra megapotamica;Lauraceae;4.2;NA;NA;1.926;8.09
Turdus rufiventris;Ocotea pulchella;Lauraceae;1.911;NA;NA;1.626;3.107
Turdus albicollis;Protium heptaphyllum;Burseraceae;0.031;NA;NA;4.203;0.13
Turdus rufiventris;Protium heptaphyllum;Burseraceae;0.447;NA;NA;4.203;1.879
Turdus albicollis;Schefflera morototoni;Araliaceae;0.894;NA;NA;1.878;1.679
Turdus rufiventris;Schefflera morototoni;Araliaceae;0.035;0.04;0.028;1.878;0.066
Turdus albicollis;Schinus terebinthifolius;Anacardiaceae;3.225;NA;NA;0.021;0.068
Turdus rufiventris;Schinus terebinthifolius;Anacardiaceae;2.049;1.188;0.594;0.021;0.044
Turdus rufiventris;Trema micrantha;Cannabaceae;11.154;NA;NA;0.114;1.266
Turdus albicollis;Virola bicuhyba;Myristicaceae;0.065;NA;NA;14.722;0.957
Turdus rufiventris;Virola bicuhyba;Myristicaceae;0.026;NA;NA;14.722;0.383
Turdus albicollis;Virola sebifera;Myristicaceae;0.031;NA;NA;2.536;0.079
Turdus rufiventris;Virola sebifera;Myristicaceae;0.338;NA;NA;2.536;0.857
