species;plant;plant_family;QTY;QTY_SD;QTY_SE;energy_fruit;TE
Ramphastos dicolorus;Cabralea canjerana;Meliaceae;1.994;NA;NA;10.016055;19.97201367
Ramphastos dicolorus;Cecropia glaziovii;Urticaceae;0.022175;0.030865211;0.021825;5.0789972;0.112626763
Ramphastos dicolorus;Erythroxylum ambiguum;Erythroxylaceae;0.054;NA;NA;4.2862848;0.231459379
Ramphastos dicolorus;Eugenia uniflora;Myrtaceae;0.033;NA;NA;6.4898256;0.214164245
Ramphastos dicolorus;Euterpe edulis;Arecaceae;0.0425;0.028218535;0.009976759;5.178982;0.220106735
Ramphastos dicolorus;Myrsine coriacea;Primulaceae;1.095;NA;NA;0.2509052;0.274741194
Ramphastos dicolorus;Virola oleifera;Myristicaceae;0.015;NA;NA;11.0401599;0.165602399
Ramphastos dicolorus;Vitex polygama;Lamiaceae;10.2;NA;NA;0.657408;6.7055616
Ramphastos vitellinus;Cabralea canjerana;Meliaceae;3.125;NA;NA;10.016055;31.30017188
Ramphastos vitellinus;Euterpe edulis;Arecaceae;0.1045;0.077249133;0.027311693;5.178982;0.541203619
Ramphastos vitellinus;Protium heptaphyllum;Burseraceae;0.156;NA;NA;4.2033384;0.65572079
Ramphastos vitellinus;Schefflera morototoni;Araliaceae;0.469;NA;NA;1.87775;0.88066475
Ramphastos vitellinus;Virola bicuhyba;Myristicaceae;0.013;NA;NA;14.722418;0.191391434
