frug;plant;n_visits;obs_time;visit_rate;n_fruits;fruit_visit;QTY;frug_family;body_mass;gape_size;plant_family;FRDIAM;FRLENG;FRFM;PFM;SFM;PDM;SDM;SEEDS;WATER;LIP;PRO;SSUGAR;INSUGAR;NSC;TOTALC;TOTALSUG
Tangara cayana;Acnistus arborescens;11;18;0.611;19;1.73;1.056;Thraupidae;18;7.4;Solanaceae;7;7.2;NA;NA;NA;NA;NA;NA;0.82;NA;0.079;NA;NA;0.483;NA;NA
Thraupis sayaca;Acnistus arborescens;9;18;0.5;11;1.22;0.611;Thraupidae;32.5;8.9;Solanaceae;7;7.2;NA;NA;NA;NA;NA;NA;0.82;NA;0.079;NA;NA;0.483;NA;NA
Turdus rufiventris;Aegiphila integrifolia;1;250;0.004;NA;NA;NA;Turdidae;69.5;13.3;Lamiaceae;8;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis palmarum;Aegiphila sellowiana;4;27.7;0.144;NA;NA;NA;Thraupidae;39;8.3;Lamiaceae;5.19;9.76;0.167;NA;0.042;0.092;0.042;1;NA;0.087;0.076;0.102;0.215;NA;NA;0.317
Thraupis sayaca;Aegiphila sellowiana;23;27.7;0.83;NA;NA;NA;Thraupidae;32.5;8.9;Lamiaceae;5.19;9.76;0.167;NA;0.042;0.092;0.042;1;NA;0.087;0.076;0.102;0.215;NA;NA;0.317
Turdus albicollis;Aegiphila sellowiana;11;27.7;0.397;NA;NA;NA;Turdidae;54;11.1;Lamiaceae;5.19;9.76;0.167;NA;0.042;0.092;0.042;1;NA;0.087;0.076;0.102;0.215;NA;NA;0.317
Turdus rufiventris;Aegiphila sellowiana;16;27.7;0.578;NA;NA;NA;Turdidae;69.5;13.3;Lamiaceae;5.19;9.76;0.167;NA;0.042;0.092;0.042;1;NA;0.087;0.076;0.102;0.215;NA;NA;0.317
Tangara cayana;Alchornea glandulosa;8;20.6;0.388;14;1.75;0.68;Thraupidae;18;7.4;Euphorbiaceae;5.03;6.36;0.08;0.03;NA;NA;NA;1.7;0.41;0.684;0.076;NA;NA;NA;0.217;NA
Tangara cyanocephala;Alchornea glandulosa;3;12;0.25;10;3.33;0.833;Thraupidae;18;5.2;Euphorbiaceae;5.03;6.36;0.08;0.03;NA;NA;NA;1.7;0.41;0.684;0.076;NA;NA;NA;0.217;NA
Tangara seledon;Alchornea glandulosa;11;28.5;0.386;NA;2.54;0.98;Thraupidae;18.7;6.1;Euphorbiaceae;5.03;6.36;0.08;0.03;NA;NA;NA;1.7;0.41;0.684;0.076;NA;NA;NA;0.217;NA
Thraupis palmarum;Alchornea glandulosa;10;12;0.83;25;2.5;2.075;Thraupidae;39;8.3;Euphorbiaceae;5.03;6.36;0.08;0.03;NA;NA;NA;1.7;0.41;0.684;0.076;NA;NA;NA;0.217;NA
Thraupis palmarum;Alchornea glandulosa;6;21.5;0.279;NA;2.99;0.835;Thraupidae;39;8.3;Euphorbiaceae;5.03;6.36;0.08;0.03;NA;NA;NA;1.7;0.41;0.684;0.076;NA;NA;NA;0.217;NA
Thraupis sayaca;Alchornea glandulosa;81;20.6;3.97;323;3.99;15.84;Thraupidae;32.5;8.9;Euphorbiaceae;5.03;6.36;0.08;0.03;NA;NA;NA;1.7;0.41;0.684;0.076;NA;NA;NA;0.217;NA
Thraupis sayaca;Alchornea glandulosa;31;12;2.58;77;2.48;6.408;Thraupidae;32.5;8.9;Euphorbiaceae;5.03;6.36;0.08;0.03;NA;NA;NA;1.7;0.41;0.684;0.076;NA;NA;NA;0.217;NA
Thraupis sayaca;Alchornea glandulosa;2;21.5;0.093;NA;2.99;0.278;Thraupidae;32.5;8.9;Euphorbiaceae;5.03;6.36;0.08;0.03;NA;NA;NA;1.7;0.41;0.684;0.076;NA;NA;NA;0.217;NA
Turdus albicollis;Alchornea glandulosa;4;12;0.33;51;12.75;4.208;Turdidae;54;11.1;Euphorbiaceae;5.03;6.36;0.08;0.03;NA;NA;NA;1.7;0.41;0.684;0.076;NA;NA;NA;0.217;NA
Turdus albicollis;Alchornea glandulosa;4;20.6;0.2;40;10;2;Turdidae;54;11.1;Euphorbiaceae;5.03;6.36;0.08;0.03;NA;NA;NA;1.7;0.41;0.684;0.076;NA;NA;NA;0.217;NA
Turdus rufiventris;Alchornea glandulosa;9;12;0.75;97;10.78;8.083;Turdidae;69.5;13.3;Euphorbiaceae;5.03;6.36;0.08;0.03;NA;NA;NA;1.7;0.41;0.684;0.076;NA;NA;NA;0.217;NA
Turdus rufiventris;Alchornea glandulosa;6;21.5;0.279;NA;6.73;1.878;Turdidae;69.5;13.3;Euphorbiaceae;5.03;6.36;0.08;0.03;NA;NA;NA;1.7;0.41;0.684;0.076;NA;NA;NA;0.217;NA
Tangara cayana;Alchornea sidifolia;2;3.5;0.571;NA;2.54;1.451;Thraupidae;18;7.4;Euphorbiaceae;5;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis sayaca;Alchornea sidifolia;2;4.4;0.455;NA;2.99;1.36;Thraupidae;32.5;8.9;Euphorbiaceae;5;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turdus rufiventris;Alchornea sidifolia;5;3.8;1.316;NA;6.73;8.856;Turdidae;69.5;13.3;Euphorbiaceae;5;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Trogon surrucura;Alchornea triplinervia;9;NA;0.23;NA;3;0.69;Trogonidae;73.3;17.5;Euphorbiaceae;6.26;7;0.25;NA;0.07;NA;2;1.7;0.43;0.671;0.078;0.015;0.065;NA;0.217;0.08
Turdus albicollis;Alchornea triplinervia;2;NA;0.05;NA;1.5;0.075;Turdidae;54;11.1;Euphorbiaceae;6.26;7;0.25;NA;0.07;NA;2;1.7;0.43;0.671;0.078;0.015;0.065;NA;0.217;0.08
Turdus rufiventris;Alchornea triplinervia;14;NA;0.36;NA;2.36;0.849;Turdidae;69.5;13.3;Euphorbiaceae;6.26;7;0.25;NA;0.07;NA;2;1.7;0.43;0.671;0.078;0.015;0.065;NA;0.217;0.08
Turdus albicollis;Amaioua guianensis;5;32;0.156;10;2;0.313;Turdidae;54;11.1;Rubiaceae;10.34;16.73;0.93;NA;0.01;NA;NA;19.1;0.7;0.2;NA;NA;NA;NA;NA;NA
Turdus rufiventris;Amaioua guianensis;16;32;0.5;29;1.8;0.9;Turdidae;69.5;13.3;Rubiaceae;10.34;16.73;0.93;NA;0.01;NA;NA;19.1;0.7;0.2;NA;NA;NA;NA;NA;NA
Tangara cayana;Anacardium occidentale;1;254;0.004;NA;NA;NA;Thraupidae;18;7.4;Anacardiaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis palmarum;Anacardium occidentale;1;254;0.004;NA;NA;NA;Thraupidae;39;8.3;Anacardiaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Tangara cayana;Archontophoenix cunninghamiana;6;2;3;NA;NA ;NA;Thraupidae;18;7.4;Arecaceae;9.8;12.6;0.9;NA;0.7;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
Turdus rufiventris;Archontophoenix cunninghamiana;2;2;1;NA;2.5;2.5;Turdidae;69.5;13.3;Arecaceae;9.8;12.6;0.9;NA;0.7;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
Tangara cayana;Byrsonima sericea;1;254;0.004;NA;NA;NA;Thraupidae;18;7.4;Malpighiaceae;7.42;7.7;0.54;NA;NA;NA;NA;1;0.77;0.219;0.048;0.048;NA;NA;NA;0.048
