ord;fam;species;visit_rate;bic_visit;visit_rate_SD;bic_visit_SD;visit_rate_SE;bic_visit_SE
Galliformes;Cracidae;Aburria jacutinga;0.025510876;1;0.025976301;0;0.018368019;0
Coraciiformes;Momotidae;Baryphthengus ruficapillus;0.007142857;1;NA;NA;NA;NA
Psittaciformes;Psittacidae;Brotogeris tirica;0.158164609;20.51458333;0.09957028;23.26675938;0.07040682;16.45208333
Passeriformes;Icteridae;Cacicus chrysopterus;0.035969724;1.714285714;0.019841807;NA;0.014030276;NA
Passeriformes;Thraupidae;Chlorophanes spiza;0.014285714;3;NA;NA;NA;NA
Passeriformes;Thraupidae;Chlorophonia cyanea;0.107142857;0.866666667;NA;NA;NA;NA
Passeriformes;Thraupidae;Cissopis leverianus;0.075510876;1.866666667;0.044734377;0.188561808;0.031631981;0.133333333
Passeriformes;Coerebidae;Coereba flaveola;0.125766314;4.326923077;0.084779235;3.780301638;0.059947972;2.673076923
Passeriformes;Vireonidae;Cyclarhis gujanensis;0.014285714;1;NA;NA;NA;NA
Passeriformes;Thraupidae;Dacnis cayana;0.014285714;2.5;NA;NA;NA;NA
Passeriformes;Thraupidae;Dacnis nigripes;0.028571429;0.25;NA;NA;NA;NA
Passeriformes;Thraupidae;Dacnis sp.;0.021428571;0.333333333;NA;NA;NA;NA
Passeriformes;Furnariidae;Dendrocolaptes platyrostris;0.021939447;0;NA;NA;NA;NA
Passeriformes;Fringillidae;Euphonia chalybea;0.057142857;6.375;NA;NA;NA;NA
Passeriformes;Fringillidae;Euphonia cyanocephala;0.007142857;2;NA;NA;NA;NA
Passeriformes;Fringillidae;Euphonia violacea;0.014541152;1.5;0.010462769;0.707106781;0.007398295;0.5
Psittaciformes;Psittacidae;Forpus xanthopterygius;0.135714286;0.736842105;NA;NA;NA;NA
Passeriformes;Furnariidae;Furnariidae sp.;0.043878894;4;NA;NA;NA;NA
Passeriformes;Thraupidae;Hemithraupis ruficapilla;0.007142857;1;NA;NA;NA;NA
Piciformes;Picidae;Melanerpes flavifrons;0.125766314;4.198717949;0.084779235;4.904420111;0.059947972;3.467948718
Passeriformes;Thraupidae;Orthogonys chloricterus;0.051021751;3;0.051952602;1.414213562;0.036736037;1
Psittaciformes;Psittacidae;Pionus maximiliani;0.014285714;0.5;NA;NA;NA;NA
Psittaciformes;Psittacidae;Pyrrhura frontalis;0.187246913;24.01511438;0.078644742;32.13234173;0.05561023;22.72099673
Piciformes;Ramphastidae;Ramphastos dicolorus;0.065818341;0.833333333;0.093081191;1.178511302;0.065818341;0.833333333
Passeriformes;Thraupidae;Saltator similis;0.014541152;1;0.010462769;0;0.007398295;0
Piciformes;Ramphastidae;Selenidera maculirostris;0.036480599;4.25;0.041489833;4.596194078;0.029337742;3.25
Passeriformes;Furnariidae;Sittasomus griseicapillus;0.021939447;1;NA;NA;NA;NA
Passeriformes;Thraupidae;Tachyphonus coronatus;0.058164609;2.625;0.041851076;0.176776695;0.02959318;0.125
Passeriformes;Thraupidae;Tangara cyanocephala;0.05;0.571428571;NA;NA;NA;NA
Passeriformes;Thraupidae;Tangara desmaresti;0.014285714;1;NA;NA;NA;NA
Passeriformes;Thraupidae;Tangara preciosa;0.007142857;3;NA;NA;NA;NA
Passeriformes;Thraupidae;Tangara seledon;0.071428571;1;NA;NA;NA;NA
Passeriformes;Thraupidae;Tangara sp.;0.021939447;20;NA;NA;NA;NA
Passeriformes;Thraupidae;Thraupis cyanoptera;0.112246913;3.365384615;0.027421276;3.018802027;0.01938977;2.134615385
Passeriformes;Thraupidae;Thraupis ornata;0.651026453;3.388920135;0.362203293;0.561151669;0.256116404;0.396794151
Passeriformes;Thraupidae;Thraupis palmarum;0.211740738;3.214285714;0.259040522;2.424366107;0.18316931;1.714285714
Passeriformes;Thraupidae;Thraupis sp.;0.109697236;3.4;NA;NA;NA;NA
Passeriformes;Tityridae;Tityra cayana;0.014541152;3;0.010462769;NA;0.007398295;NA
Passeriformes;Tityridae;Tityra inquisitor;0.007142857;1;NA;NA;NA;NA
Trogoniformes;Trogonidae;Trogon surrucura;0.007142857;1;NA;NA;NA;NA
Trogoniformes;Trogonidae;Trogon viridis;0.025255438;1;0.004689519;0;0.003315991;0
Passeriformes;Turdidae;Turdus flavipes;0.182147558;3.05;0.176783344;0.070710678;0.125004701;0.05
Passeriformes;Turdidae;Turdus rufiventris;0.014285714;1;NA;NA;NA;NA
