LAT;LONG
-23.448129;-45.118103
-12.933333;-38.401436
-19.683485;-39.912558
-22.483333;-47.600000
-24.133333;-47.983333
-25.147771;-47.984848
-25.147771;-47.984848
-22.381104;-47.468181
-28.250000;-52.400000
-22.549343;-42.276764
-25.172631;-47.978668
-25.135339;-47.931976
-24.293911;-48.246803
-21.984145;-47.880245
-25.246336;-50.021043
-20.753889;-42.881389
-21.966667;-47.866667
-25.133611;-47.961667
-24.943056;-48.217778
-24.702313;-48.007619
-24.485818;-48.646669
-24.292034;-48.199768
-24.096619;-47.958069
-23.807872;-47.723242
-23.939696;-47.197734
-23.963247;-47.507167
-24.094111;-46.833344
-23.694206;-45.736427
-22.885032;-44.004364
-23.861978;-45.334053
-22.928042;-44.496689
-21.725833;-48.018611
-22.366667;-47.466667
-22.000000;-44.750000
-22.863619;-42.333631
-23.550000;-46.716667
-23.366667;-46.600298
-28.216667;-51.316667
-29.716667;-53.700000
-23.466667;-47.416667
-24.308775;-48.273590
-22.884181;-48.444165
-21.750848;-43.344165
-22.866667;-46.966667
-18.883333;-48.250000
-15.966667;-47.933333
-29.166667;-50.100000
-22.400000;-42.966666
-22.466667;-43.033333
-22.414267;-42.614293
-22.448889;-42.987222
-22.448889;-42.987222
-23.015556;-44.316667
-23.232222;-44.700000
-23.448889;-45.066667
-22.716667;-48.716667
-22.716667;-48.716667
-24.266667;-48.416667
-22.816667;-47.100000
-22.950000;-46.733333
-21.376111;-46.005833
-21.422222;-46.135000
-21.442500;-46.159167
-21.501389;-46.977500
-21.331111;-46.858611
-22.707778;-47.606111
-24.166667;-47.922778
-22.765278;-53.258333
-26.905737;-49.079004
-26.900028;-49.036102
-24.272631;-48.233757
