"","class","order","family","genus","species"
"1","Aves","Galliformes","Cracidae","Penelope","Penelope obscura"
"2","Aves","Galliformes","Cracidae","Aburria","Aburria jacutinga"
"3","Aves","Piciformes","Ramphastidae","Ramphastos","Ramphastos vitellinus"
"4","Aves","Piciformes","Ramphastidae","Ramphastos","Ramphastos dicolorus"
"5","Aves","Passeriformes","Cotingidae","Procnias","Procnias nudicollis"
"6","Aves","Piciformes","Ramphastidae","Selenidera","Selenidera maculirostris"
"7","Aves","Piciformes","Ramphastidae","Baillonius","Baillonius bailloni"
"8","Aves","Trogoniformes","Trogonidae","Trogon","Trogon viridis"
"9","Aves","Trogoniformes","Trogonidae","Trogon","Trogon surrucura"
"10","Aves","Passeriformes","Cotingidae","Tityra","Tityra cayana"
"11","Aves","Passeriformes","Fringillidae","Euphonia","Euphonia violacea"
"12","Aves","Passeriformes","Fringillidae","Euphonia","Euphonia pectoralis"
"13","Aves","Passeriformes","Thraupidae","Thraupis","Thraupis sayaca"
"14","Aves","Passeriformes","Thraupidae","Tangara","Tangara seledon"
"15","Aves","Passeriformes","Turdidae","Turdus","Turdus rufiventris"
"16","Aves","Passeriformes","Turdidae","Turdus","Turdus albicollis"
