;submittedname;acceptedname;sourceid;score;matchedname;authority
1;Alchornea triplinervia;Alchornea triplinervia;iPlant_TNRS;1;Alchornea triplinervia;(Spreng.) MÌ_ll. Arg.
2;Cabralea canjerana;Cabralea canjerana;iPlant_TNRS;1;Cabralea canjerana;(Vell.) Mart.
3;Cupania oblongifolia;Cupania oblongifolia;iPlant_TNRS;1;Cupania oblongifolia;Mart.
4;Protium widgrenii;Protium widgrenii;iPlant_TNRS;1;Protium widgrenii;Engl.
5;Virola bicuhyba;Virola bicuhyba;iPlant_TNRS;1;Virola bicuhyba;(Schott ex Spreng.) Warb.
6;Euterpe edulis;Euterpe edulis;iPlant_TNRS;1;Euterpe edulis;Mart.
7;Psychotria suterella;Psychotria suterella;iPlant_TNRS;1;Psychotria suterella;MÌ_ll. Arg.
8;Virola gardneri;Virola gardneri;iPlant_TNRS;1;Virola gardneri;(A. DC.) Warb.
9;Hyeronima alchorneoides;;iPlant_TNRS;1;Hyeronima alchorneoides;
10;Copaifera trapezifolia;Copaifera trapezifolia;iPlant_TNRS;1;Copaifera trapezifolia;Hayne
11;Garcinia gardneriana;Garcinia gardneriana;iPlant_TNRS;1;Garcinia gardneriana;(Planch. & Triana) Zappi
12;Marlierea tomentosa;Marlierea tomentosa;iPlant_TNRS;1;Marlierea tomentosa;Cambess.
13;Sorocea ilicifolia;Sorocea ilicifolia;iPlant_TNRS;1;Sorocea ilicifolia;Miq.
14;Ficus enormis;Ficus enormis;iPlant_TNRS;1;Ficus enormis;(Mart. ex Miq.) Mart.
15;Citharexylum myrianthum;Citharexylum myrianthum;iPlant_TNRS;1;Citharexylum myrianthum;Cham.
16;Cordia silvestris;Cordia silvestris;iPlant_TNRS;1;Cordia silvestris;Fresen.
17;Eugenia mosenii;Eugenia mosenii;iPlant_TNRS;1;Eugenia mosenii;(Kausel) Sobral
18;Cecropia pachystachya;Cecropia pachystachya;iPlant_TNRS;1;Cecropia pachystachya;TrÌ©cul
19;Eugenia melanogyna;Eugenia melanogyna;iPlant_TNRS;1;Eugenia melanogyna;(D. Legrand) Sobral
20;Marcgravia polyantha;Marcgravia polyantha;iPlant_TNRS;1;Marcgravia polyantha;Delpino
21;Heteropsis oblongifolia;Heteropsis oblongifolia;iPlant_TNRS;1;Heteropsis oblongifolia;Kunth
22;Coussarea contracta;Coussarea contracta;iPlant_TNRS;1;Coussarea contracta;(Walp.) MÌ_ll. Arg.
23;Pourouma guianensis;Pourouma guianensis;iPlant_TNRS;1;Pourouma guianensis;Aubl.
24;Myrceugenia myrcioides;Myrceugenia myrcioides;iPlant_TNRS;1;Myrceugenia myrcioides;(Cambess.) O. Berg
