IOCOrder	BLFamilyLatin	BLFamilyEng	English	gen	sp	BodyMass.Source	BodyMass.SpecLevel	BodyMass.Comment	Record.Comment	BM.g
Cariamiformes	Cariamidae	Seriemas	Red-legged_Seriema	Cariama	Cariama cristata	Dunning08	1	Null	Null	1400.00
Columbiformes	Columbidae	Doves.pigeons	Purple-winged_Ground-dove	Claravis	Claravis godefrida	PrimScale	1	MarceloR	Null	43.47
Columbiformes	Columbidae	Doves.pigeons	Blue_Ground-dove	Claravis	Claravis pretiosa	Dunning08	1	Null	Null	68.20
Columbiformes	Columbidae	Doves.pigeons	Scaled_Dove	Columbina	Columbina squammata	Dunning08	1	Null	Null	52.90
Columbiformes	Columbidae	Doves.pigeons	Ruddy_Quail-dove	Geotrygon	Geotrygon montana	Dunning08	1	Null	Null	133.86
Columbiformes	Columbidae	Doves.pigeons	Violaceous_Quail-dove	Geotrygon	Geotrygon violacea	Dunning08	1	Null	Null	95.20
Columbiformes	Columbidae	Doves.pigeons	Grey-fronted_Dove	Leptotila	Leptotila rufaxilla	Dunning08	1	Null	Null	157.00
Columbiformes	Columbidae	Doves.pigeons	White-tipped_Dove	Leptotila	Leptotila verreauxi	Dunning08	1	Null	Null	146.88
Columbiformes	Columbidae	Doves.pigeons	Pale-vented_Pigeon	Patagioenas	Patagioenas cayennensis	Dunning08	1	Null	Null	229.00
Columbiformes	Columbidae	Doves.pigeons	Picazuro_Pigeon	Patagioenas	Patagioenas picazuro	Dunning08	1	Null	Null	279.00
Columbiformes	Columbidae	Doves.pigeons	Plumbeous_Pigeon	Patagioenas	Patagioenas plumbea	Dunning08	1	Null	Null	178.77
Columbiformes	Columbidae	Doves.pigeons	Scaled_Pigeon	Patagioenas	Patagioenas speciosa	Dunning08	1	Null	Null	258.47
Coraciiformes	Momotidae	Motmots	Rufous-capped_Motmot	Baryphthengus	Baryphthengus ruficapillus	Dunning08	1	Null	Null	141.65
Cuculiformes	Cuculidae	Cuckoos	Smooth-billed_Ani	Crotophaga	Crotophaga ani	Dunning08	1	Null	Null	110.09
Cuculiformes	Cuculidae	Cuckoos	Greater_Ani	Crotophaga	Crotophaga major	Dunning08	1	Null	Null	148.25
Cuculiformes	Cuculidae	Cuckoos	Guira_Cuckoo	Guira	Guira guira	Dunning08	1	Null	Null	141.00
Cuculiformes	Cuculidae	Cuckoos	Squirrel_Cuckoo	Piaya	Piaya cayana	Dunning08	1	Null	Null	101.98
Galliformes	Cracidae	Guans.curassows	Red-billed_Curassow	Crax	Crax blumenbachii	Dunning08	1	Null	Null	3500.00
Galliformes	Cracidae	Guans.curassows	Alagoas_Curassow	Mitu	Mitu mitu	Dunning08	1	Null	Null	2850.47
Galliformes	Cracidae	Guans.curassows	Speckled_Chachalaca	Ortalis	Ortalis guttata	Dunning08	1	Null	Null	547.72
Galliformes	Cracidae	Guans.curassows	Dusky-legged_Guan	Penelope	Penelope obscura	Dunning08	1	Null	Null	1770.00
Galliformes	Cracidae	Guans.curassows	Rusty-margined_Guan	Penelope	Penelope superciliaris	Dunning08	1	Null	Null	894.99
Galliformes	Cracidae	Guans.curassows	Black-fronted_Piping-guan	Pipile	Pipile jacutinga	Dunning08	1	Null	Null	1240.96
Galliformes	Odontophoridae	New_World_quails	Spot-winged_Wood-quail	Odontophorus	Odontophorus capueira	Dunning08	1	Null	Null	425.40
Gruiformes	Rallidae	Rails.crakes.allies	Uniform_Crake	Amaurolimnas	Amaurolimnas concolor	Dunning08	1	Null	Null	133.00
Gruiformes	Rallidae	Rails.crakes.allies	Russet-crowned_Crake	Anurolimnas	Anurolimnas viridis	Dunning08	1	Null	Null	64.34
