frug_family	frug	body_mass	gape_size
Cotingidae	Tityra cayana	68.10	16.6
Ramphastidae	Ramphastos dicolorus	331.00	30.7
Fringillidae	Euphonia violacea	15.00	6.9
Ramphastidae	Selenidera maculirostris	164.00	25
Trogonidae	Trogon surrucura	73.30	17.5
Trogonidae	Trogon viridis	89.70	20.5
Turdidae	Turdus rufiventris	69.50	13.3
Fringillidae	Euphonia violacea	15.00	6.9
Thraupidae	Thraupis sayaca	32.50	8.9
Cotingidae	Tityra cayana	68.10	16.6
Cracidae	Aburria jacutinga	1250.00	19.1
Thraupidae	Tangara seledon	18.70	6.1
Trogonidae	Trogon viridis	89.70	20.5
Thraupidae	Thraupis palmarum	39.00	8.3
Cotingidae	Tityra cayana	68.10	16.6
Trogonidae	Trogon viridis	89.70	20.5
Turdidae	Turdus rufiventris	69.50	13.3
Ramphastidae	Selenidera maculirostris	164.00	25
Thraupidae	Thraupis sayaca	32.50	8.9
Thraupidae	Thraupis palmarum	39.00	8.3
Cotingidae	Tityra cayana	68.10	16.6
Trogonidae	Trogon viridis	89.70	20.5
Fringillidae	Euphonia violacea	15.00	6.9
Cracidae	Aburria jacutinga	1250.00	19.1
Cotingidae	Tityra cayana	68.10	16.6
Thraupidae	Thraupis palmarum	39.00	8.3
Thraupidae	Tangara cyanocephala	18.00	5.2
Thraupidae	Tangara seledon	18.70	6.1
Thraupidae	Tangara seledon	18.70	6.1
Turdidae	Turdus rufiventris	69.50	13.3
Ramphastidae	Baillonius bailloni	146.00	23.6
Ramphastidae	Selenidera maculirostris	164.00	25
Thraupidae	Thraupis palmarum	39.00	8.3
Thraupidae	Thraupis sayaca	32.50	8.9
Ramphastidae	Ramphastos dicolorus	331.00	30.7
Cotingidae	Tityra cayana	68.10	16.6
Cotingidae	Tityra cayana	68.10	16.6
Turdidae	Turdus rufiventris	69.50	13.3
Trogonidae	Trogon viridis	89.70	20.5
Trogonidae	Trogon viridis	89.70	20.5
Turdidae	Turdus albicollis	54.00	11.1
Turdidae	Turdus rufiventris	69.50	13.3
Trogonidae	Trogon viridis	89.70	20.5
Thraupidae	Thraupis palmarum	39.00	8.3
Turdidae	Turdus rufiventris	69.50	13.3
Thraupidae	Thraupis sayaca	32.50	8.9
Ramphastidae	Ramphastos vitellinus	343.50	30.1
Ramphastidae	Ramphastos dicolorus	331.00	30.7
Ramphastidae	Ramphastos dicolorus	331.00	30.7
Ramphastidae	Ramphastos dicolorus	331.00	30.7
Fringillidae	Euphonia chlorotica	11.00	6.1
Cotingidae	Procnias nudicollis	200.00	23.6
Thraupidae	Tangara seledon	18.70	6.1
Turdidae	Turdus albicollis	54.00	11.1
Turdidae	Turdus rufiventris	69.50	13.3
Cotingidae	Procnias nudicollis	200.00	23.6
Turdidae	Turdus albicollis	54.00	11.1
Turdidae	Turdus rufiventris	69.50	13.3
Thraupidae	Tangara seledon	18.70	6.1
Turdidae	Turdus albicollis	54.00	11.1
Turdidae	Turdus rufiventris	69.50	13.3
Thraupidae	Thraupis sayaca	32.50	8.9
Turdidae	Turdus albicollis	54.00	11.1
Trogonidae	Trogon surrucura	73.30	17.5
Trogonidae	Trogon viridis	89.70	20.5
Turdidae	Turdus albicollis	54.00	11.1
Ramphastidae	Selenidera maculirostris	164.00	25
Ramphastidae	Ramphastos vitellinus	343.50	30.1
Thraupidae	Thraupis palmarum	39.00	8.3
Turdidae	Turdus rufiventris	69.50	13.3
Turdidae	Turdus albicollis	54.00	11.1
Ramphastidae	Ramphastos vitellinus	343.50	30.1
Trogonidae	Trogon surrucura	73.30	17.5
Thraupidae	Thraupis palmarum	39.00	8.3
Ramphastidae	Ramphastos vitellinus	343.50	30.1
Cracidae	Penelope obscura	1770.00	22.3
Turdidae	Turdus albicollis	54.00	11.1
Turdidae	Turdus albicollis	54.00	11.1
Ramphastidae	Ramphastos dicolorus	331.00	30.7
Fringillidae	Euphonia chlorotica	11.00	6.1
Trogonidae	Trogon viridis	89.70	20.5
Turdidae	Turdus rufiventris	69.50	13.3
Turdidae	Turdus rufiventris	69.50	13.3
Cracidae	Penelope obscura	1770.00	22.3
Cotingidae	Procnias nudicollis	200.00	23.6
Ramphastidae	Ramphastos dicolorus	331.00	30.7
Turdidae	Turdus rufiventris	69.50	13.3
Thraupidae	Thraupis sayaca	32.50	8.9
Cracidae	Aburria jacutinga	1250.00	19.1
Turdidae	Turdus albicollis	54.00	11.1
Turdidae	Turdus albicollis	54.00	11.1
Thraupidae	Thraupis sayaca	32.50	8.9
Ramphastidae	Ramphastos dicolorus	331.00	30.7
Cotingidae	Tityra cayana	68.10	16.6
Ramphastidae	Ramphastos dicolorus	331.00	30.7
Trogonidae	Trogon viridis	89.70	20.5
Turdidae	Turdus albicollis	54.00	11.1
Thraupidae	Thraupis palmarum	39.00	8.3
Ramphastidae	Baillonius bailloni	146.00	23.6
Thraupidae	Thraupis sayaca	32.50	8.9
Turdidae	Turdus albicollis	54.00	11.1
Thraupidae	Thraupis sayaca	32.50	8.9
Ramphastidae	Ramphastos dicolorus	331.00	30.7
Ramphastidae	Selenidera maculirostris	164.00	25
Ramphastidae	Selenidera maculirostris	164.00	25
Turdidae	Turdus albicollis	54.00	11.1
Thraupidae	Thraupis palmarum	39.00	8.3
Thraupidae	Thraupis sayaca	32.50	8.9
Ramphastidae	Ramphastos dicolorus	331.00	30.7
Turdidae	Turdus rufiventris	69.50	13.3
Cotingidae	Procnias nudicollis	200.00	23.6
Turdidae	Turdus albicollis	54.00	11.1
Turdidae	Turdus albicollis	54.00	11.1
Turdidae	Turdus rufiventris	69.50	13.3
Turdidae	Turdus albicollis	54.00	11.1
Thraupidae	Thraupis sayaca	32.50	8.9
Thraupidae	Thraupis palmarum	39.00	8.3
Thraupidae	Thraupis sayaca	32.50	8.9
Thraupidae	Thraupis palmarum	39.00	8.3
Thraupidae	Thraupis sayaca	32.50	8.9
Cotingidae	Tityra cayana	68.10	16.6
Cracidae	Penelope obscura	1770.00	22.3
Ramphastidae	Ramphastos dicolorus	331.00	30.7
Turdidae	Turdus albicollis	54.00	11.1
Thraupidae	Thraupis sayaca	32.50	8.9
Turdidae	Turdus albicollis	54.00	11.1
Thraupidae	Thraupis sayaca	32.50	8.9
Cracidae	Aburria jacutinga	1250.00	19.1
Ramphastidae	Selenidera maculirostris	164.00	25
Ramphastidae	Selenidera maculirostris	164.00	25
Turdidae	Turdus rufiventris	69.50	13.3
Ramphastidae	Ramphastos dicolorus	331.00	30.7
Turdidae	Turdus rufiventris	69.50	13.3
Ramphastidae	Ramphastos vitellinus	343.50	30.1
Turdidae	Turdus albicollis	54.00	11.1
Trogonidae	Trogon surrucura	73.30	17.5
Cotingidae	Procnias nudicollis	200.00	23.6
Cotingidae	Tityra cayana	68.10	16.6
Turdidae	Turdus rufiventris	69.50	13.3
Trogonidae	Trogon viridis	89.70	20.5
Turdidae	Turdus rufiventris	69.50	13.3
Fringillidae	Euphonia chlorotica	11.00	6.1
Thraupidae	Thraupis palmarum	39.00	8.3
Cotingidae	Tityra cayana	68.10	16.6
Turdidae	Turdus albicollis	54.00	11.1
Thraupidae	Thraupis palmarum	39.00	8.3
Cracidae	Penelope obscura	1770.00	22.3
Ramphastidae	Ramphastos vitellinus	343.50	30.1
Turdidae	Turdus rufiventris	69.50	13.3
Trogonidae	Trogon surrucura	73.30	17.5
Turdidae	Turdus rufiventris	69.50	13.3
Turdidae	Turdus albicollis	54.00	11.1
Turdidae	Turdus rufiventris	69.50	13.3
Turdidae	Turdus rufiventris	69.50	13.3
Turdidae	Turdus albicollis	54.00	11.1
Thraupidae	Thraupis sayaca	32.50	8.9
Trogonidae	Trogon viridis	89.70	20.5
Fringillidae	Euphonia violacea	15.00	6.9
Thraupidae	Thraupis palmarum	39.00	8.3
Thraupidae	Thraupis sayaca	32.50	8.9
Thraupidae	Thraupis palmarum	39.00	8.3
Cotingidae	Procnias nudicollis	200.00	23.6
Ramphastidae	Selenidera maculirostris	164.00	25
Cracidae	Penelope obscura	1770.00	22.3
Fringillidae	Euphonia violacea	15.00	6.9
Thraupidae	Thraupis palmarum	39.00	8.3
Thraupidae	Thraupis sayaca	32.50	8.9
Ramphastidae	Ramphastos vitellinus	343.50	30.1
Thraupidae	Thraupis sayaca	32.50	8.9
Turdidae	Turdus rufiventris	69.50	13.3
Ramphastidae	Ramphastos vitellinus	343.50	30.1
Cotingidae	Procnias nudicollis	200.00	23.6
Ramphastidae	Baillonius bailloni	146.00	23.6
Thraupidae	Thraupis palmarum	39.00	8.3
Thraupidae	Thraupis sayaca	32.50	8.9
Thraupidae	Thraupis palmarum	39.00	8.3
Turdidae	Turdus rufiventris	69.50	13.3
Cracidae	Aburria jacutinga	1250.00	19.1
Ramphastidae	Ramphastos vitellinus	343.50	30.1
Trogonidae	Trogon surrucura	73.30	17.5
Cotingidae	Tityra cayana	68.10	16.6
Thraupidae	Thraupis sayaca	32.50	8.9
Fringillidae	Euphonia violacea	15.00	6.9
Fringillidae	Euphonia violacea	15.00	6.9
Turdidae	Turdus albicollis	54.00	11.1
Ramphastidae	Ramphastos dicolorus	331.00	30.7
Thraupidae	Thraupis palmarum	39.00	8.3
Thraupidae	Thraupis sayaca	32.50	8.9
Cotingidae	Procnias nudicollis	200.00	23.6
Thraupidae	Thraupis sayaca	32.50	8.9
Ramphastidae	Ramphastos vitellinus	343.50	30.1
Trogonidae	Trogon viridis	89.70	20.5
Turdidae	Turdus rufiventris	69.50	13.3
Cracidae	Aburria jacutinga	1250.00	19.1
Turdidae	Turdus albicollis	54.00	11.1
Thraupidae	Tangara seledon	18.70	6.1
Fringillidae	Euphonia chlorotica	11.00	6.1
Cotingidae	Procnias nudicollis	200.00	23.6
Ramphastidae	Selenidera maculirostris	164.00	25
Fringillidae	Euphonia violacea	15.00	6.9
Turdidae	Turdus rufiventris	69.50	13.3
Thraupidae	Thraupis palmarum	39.00	8.3
Thraupidae	Tangara cyanocephala	18.00	5.2
Thraupidae	Thraupis sayaca	32.50	8.9
Fringillidae	Euphonia chlorotica	11.00	6.1
Thraupidae	Thraupis sayaca	32.50	8.9
Ramphastidae	Selenidera maculirostris	164.00	25
Thraupidae	Tangara cyanocephala	18.00	5.2
Thraupidae	Thraupis sayaca	32.50	8.9
Turdidae	Turdus albicollis	54.00	11.1
Turdidae	Turdus albicollis	54.00	11.1
Turdidae	Turdus albicollis	54.00	11.1
Ramphastidae	Selenidera maculirostris	164.00	25
Turdidae	Turdus albicollis	54.00	11.1
Trogonidae	Trogon viridis	89.70	20.5
